"",BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:17,
1991-01,-0.311,
1991-04,-0.311,
1991-07,-0.311,
1991-10,-0.311,
1992-01,-2.376,
1992-04,-2.376,
1992-07,-2.376,
1992-10,-2.376,
1993-01,-2.456,
1993-04,-2.456,
1993-07,-2.456,
1993-10,-2.456,
1994-01,56.031,
1994-04,56.031,
1994-07,56.031,
1994-10,56.031,
1995-01,-64.137,
1995-04,-64.137,
1995-07,-64.137,
1995-10,-64.137,
1996-01,16.239,
1996-04,16.393,
1996-07,16.393,
1996-10,16.393,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-2.000,
1999-04,-2.000,
1999-07,-3.000,
1999-10,-2.000,
2000-01,-1.000,
2000-04,-1.000,
2000-07,-1.000,
2000-10,1.000,
2001-01,2.628,
2001-04,-4.697,
2001-07,-0.697,
2001-10,1.628,
2002-01,1.882,
2002-04,-2.739,
2002-07,0.444,
2002-10,0.822,
2003-01,1.562,
2003-04,0.875,
2003-07,0.035,
2003-10,1.345,
2004-01,4.130,
2004-04,2.988,
2004-07,6.407,
2004-10,5.658,
2005-01,0.351,
2005-04,-0.709,
2005-07,4.590,
2005-10,-18.235,
2006-01,3.349,
2006-04,-1.388,
2006-07,4.131,
2006-10,3.907,
2007-01,1.795,
2007-04,-6.624,
2007-07,3.540,
2007-10,0.295,
2008-01,-8.304,
2008-04,-0.490,
2008-07,6.188,
2008-10,-0.262,
2009-01,0.053,
2009-04,-7.568,
2009-07,1.188,
2009-10,1.325,
2010-01,0.767,
2010-04,2.499,
2010-07,3.863,
2010-10,1.870,
2011-01,2.466,
2011-04,-16.587,
2011-07,-2.527,
2011-10,2.650,
2012-01,0.935,
2012-04,1.094,
2012-07,3.124,
2012-10,2.023,
2013-01,1.461,
2013-04,2.319,
2013-07,2.242,
2013-10,2.225,
2014-01,1.271,Provisional value
2014-04,2.287,Provisional value
2014-07,2.327,Provisional value
2014-10,2.340,Provisional value
