"",BBK01.OEYB13S,BBK01.OEYB13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:33,
2002-01,0.269,
2002-04,0.247,
2002-07,0.258,
2002-10,0.255,
2003-01,0.251,
2003-04,0.252,
2003-07,0.249,
2003-10,0.250,
2004-01,0.249,
2004-04,0.248,
2004-07,0.249,
2004-10,0.189,
2005-01,0.185,
2005-04,0.184,
2005-07,0.184,
2005-10,0.181,
2006-01,0.180,
2006-04,0.175,
2006-07,0.173,
2006-10,0.161,
2007-01,0.160,
2007-04,0.155,
2007-07,0.156,
2007-10,0.156,
2008-01,0.155,
2008-04,0.156,
2008-07,0.162,
2008-10,0.161,
2009-01,0.164,
2009-04,0.164,
2009-07,0.166,
2009-10,0.164,
2010-01,0.159,
2010-04,0.154,
2010-07,0.154,
2010-10,0.157,
2011-01,0.160,
2011-04,0.161,
2011-07,0.156,
2011-10,0.155,
2012-01,0.161,
2012-04,0.169,
2012-07,0.170,
2012-10,0.170,
2013-01,0.172,
2013-04,0.174,
2013-07,0.179,
2013-10,0.180,
2014-01,0.180,
2014-04,0.184,
2014-07,0.187,
