"",BBEX3.M.AZM.USD.CA.AC.A01,BBEX3.M.AZM.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Azerbaijan / USD 1 = AZM ... (middle),
unit,AZM (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:50,
1998-01,3937.50,
1998-02,3905.00,
1998-03,3887.50,
1998-04,3865.00,
1998-05,3860.00,
1998-06,3862.00,
1998-07,3863.00,
1998-08,3864.00,comment
1998-09,3858.00,
1998-10,3861.00,
1998-11,3871.00,
1998-12,3890.00,
1999-01,3901.00,
1999-02,3916.00,
1999-03,3925.00,
1999-04,3942.00,
1999-05,3975.00,
1999-06,3975.00,
1999-07,4271.00,
1999-08,4275.00,
1999-09,4320.00,
1999-10,4342.00,
1999-11,4361.00,
1999-12,4373.00,
2000-01,4387.00,
2000-02,4402.00,
2000-03,4413.00,
2000-04,4437.00,
2000-05,4456.00,
2000-06,4476.00,
2000-07,4476.00,
2000-08,4517.00,
2000-09,4527.00,
2000-10,4548.00,
2000-11,4558.00,
2000-12,4565.00,
2001-01,4579.00,
2001-02,4589.00,
2001-03,4606.00,
2001-04,4624.00,
2001-05,4631.00,
2001-06,4648.00,
2001-07,4670.00,
2001-08,4677.00,
2001-09,4693.00,
2001-10,4723.00,
2001-11,4752.00,
2001-12,4774.00,
2002-01,4797.00,
2002-02,4809.00,
2002-03,4827.00,
2002-04,4843.00,
2002-05,4858.00,
2002-06,4870.00,
2002-07,4887.00,
2002-08,4898.00,
2002-09,4897.00,
2002-10,4898.00,
2002-11,4892.00,
2002-12,4893.00,
2003-01,4896.00,
2003-02,4898.00,
2003-03,4907.00,
2003-04,4910.00,
2003-05,4916.00,
2003-06,4917.00,
2003-07,4916.00,
2003-08,4913.00,
2003-09,4910.00,
2003-10,4911.00,
2003-11,4917.00,
2003-12,4923.00,
2004-01,4932.00,
2004-02,4939.00,
2004-03,4925.00,
2004-04,4918.00,
2004-05,4909.00,
2004-06,4905.00,
2004-07,4904.00,
2004-08,4902.00,
2004-09,4908.00,
2004-10,4906.00,
2004-11,4902.00,
2004-12,4903.00,
2005-01,4903.00,
2005-02,4890.00,
2005-03,4852.00,
2005-04,4807.00,
2005-05,4758.00,
2005-06,4707.00,
2005-07,4686.00,
2005-08,4626.00,
2005-09,4593.00,
2005-10,4597.00,
2005-11,4594.00,
2005-12,4593.00,
"","General: Currency conversion with effect from 1 January 2006 at the rate of AZM 5,000 = AZN 1; for exchange rates as of January 2006, see BBEX2:M:AZN:USD:CA:AC:A01.",
"","Source: Since July 1998: National Bank of Azerbaijan, Baku.January - June 1998: International Bank of Azerbaijan, Baku.",
"",Comment on 1998-08: Exchange rate as of 2 September 1998.,
