"",BBK01.OEBI05R,BBK01.OEBI05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:42,
2002-01,0.030,
2002-04,0.030,
2002-07,0.026,
2002-10,0.026,
2003-01,0.025,
2003-04,0.026,
2003-07,0.023,
2003-10,0.020,
2004-01,0.023,
2004-04,0.023,
2004-07,0.025,
2004-10,0.024,
2005-01,0.063,
2005-04,0.063,
2005-07,0.056,
2005-10,0.055,
2006-01,0.052,
2006-04,0.049,
2006-07,0.049,
2006-10,0.048,
2007-01,0.046,
2007-04,0.043,
2007-07,0.043,
2007-10,0.043,
2008-01,0.054,
2008-04,0.044,
2008-07,0.041,
2008-10,0.047,
2009-01,0.058,
2009-04,0.067,
2009-07,0.077,
2009-10,0.082,
2010-01,0.087,
2010-04,0.090,
2010-07,0.087,
2010-10,0.091,
2011-01,0.097,
2011-04,0.088,
2011-07,0.099,
2011-10,0.100,
2012-01,0.117,
2012-04,0.135,
2012-07,0.134,
2012-10,0.135,
2013-01,0.312,
2013-04,0.139,
2013-07,0.140,
2013-10,0.213,
2014-01,0.141,
2014-04,0.212,
2014-07,0.214,
