"",BBSF2.M.1.T.00000.GEM01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed securities funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:27,
2009-09,4720,
2009-10,9242,
2009-11,5036,
2009-12,8999,
2010-01,7954,
2010-02,4397,
2010-03,5208,
2010-04,5136,
2010-05,3581,
2010-06,6494,
2010-07,6111,
2010-08,3747,
2010-09,4351,
2010-10,6643,
2010-11,4027,
2010-12,7099,
2011-01,5048,
2011-02,7916,
2011-03,3402,
2011-04,3745,
2011-05,2248,
2011-06,2361,
2011-07,2477,
2011-08,1731,
2011-09,1970,
2011-10,3400,
2011-11,6624,
2011-12,5030,
2012-01,5032,
2012-02,8882,
2012-03,5393,
2012-04,3144,
2012-05,3164,
2012-06,3500,
2012-07,3283,
2012-08,2382,
2012-09,4132,
2012-10,3740,
2012-11,10739,
2012-12,10715,
2013-01,5749,
2013-02,8924,
2013-03,8555,
2013-04,4908,
2013-05,5686,
2013-06,7123,
2013-07,6821,
2013-08,4024,
2013-09,3815,
2013-10,4900,
2013-11,5825,
2013-12,9536,
2014-01,6722,
2014-02,10211,
2014-03,5730,
2014-04,5123,
2014-05,4587,
2014-06,5169,
2014-07,9435,
2014-08,6769,
2014-09,6394,
2014-10,6288,
2014-11,4852,
