"",BBK01.OEBB13M,BBK01.OEBB13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:29,
2002-01,5.961,
2002-04,5.903,
2002-07,5.863,
2002-10,5.806,
2003-01,5.686,
2003-04,5.631,
2003-07,5.539,
2003-10,5.479,
2004-01,5.407,
2004-04,5.384,
2004-07,5.334,
2004-10,5.246,
2005-01,5.313,
2005-04,6.869,
2005-07,6.714,
2005-10,6.739,
2006-01,6.762,
2006-04,6.895,
2006-07,6.934,
2006-10,6.780,
2007-01,7.427,
2007-04,7.200,
2007-07,7.348,
2007-10,7.479,
2008-01,7.292,
2008-04,7.362,
2008-07,7.193,
2008-10,7.317,
2009-01,7.300,
2009-04,7.819,
2009-07,7.816,
2009-10,7.866,
2010-01,7.910,
2010-04,7.928,
2010-07,8.164,
2010-10,8.270,
2011-01,8.063,
2011-04,8.030,
2011-07,7.964,
2011-10,8.072,
2012-01,8.070,
2012-04,8.161,
2012-07,8.197,
2012-10,8.294,
2013-01,8.099,
2013-04,8.234,
2013-07,8.074,
2013-10,8.179,
2014-01,8.157,
2014-04,7.909,
2014-07,7.984,
