"",BBK01.OEAC45K,BBK01.OEAC45K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:21,
2002-01,0.129,
2002-04,0.133,
2002-07,0.121,
2002-10,0.121,
2003-01,0.109,
2003-04,0.105,
2003-07,0.103,
2003-10,0.105,
2004-01,0.087,
2004-04,0.190,
2004-07,0.122,
2004-10,0.119,
2005-01,0.140,
2005-04,0.185,
2005-07,0.188,
2005-10,0.145,
2006-01,0.138,
2006-04,0.182,
2006-07,0.143,
2006-10,0.122,
2007-01,0.160,
2007-04,0.171,
2007-07,0.226,
2007-10,0.198,
2008-01,0.220,
2008-04,0.282,
2008-07,0.321,
2008-10,0.451,
2009-01,0.450,
2009-04,0.490,
2009-07,0.478,
2009-10,0.476,
2010-01,0.277,
2010-04,0.149,
2010-07,0.129,
2010-10,0.135,
2011-01,0.132,
2011-04,0.148,
2011-07,0.155,
2011-10,0.125,
2012-01,0.117,
2012-04,0.116,
2012-07,0.117,
2012-10,0.098,
2013-01,0.107,
2013-04,0.101,
2013-07,0.084,
2013-10,0.082,
2014-01,0.091,
2014-04,0.091,
2014-07,0.091,
