"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U9.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U9.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / All areas other than EU and ref./home area / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:07,
2009-09,20086,
2009-10,18557,
2009-11,19190,
2009-12,19244,
2010-01,19793,
2010-02,19530,
2010-03,19656,
2010-04,19948,
2010-05,19386,
2010-06,19563,
2010-07,19265,
2010-08,20324,
2010-09,19036,
2010-10,19203,
2010-11,19066,
2010-12,19086,
2011-01,19176,
2011-02,19616,
2011-03,19245,
2011-04,19045,
2011-05,19390,
2011-06,19642,
2011-07,19562,
2011-08,18944,
2011-09,18096,
2011-10,21164,
2011-11,16424,
2011-12,16567,
2012-01,17821,
2012-02,16358,
2012-03,16643,
2012-04,15381,
2012-05,15627,
2012-06,15793,
2012-07,16286,
2012-08,16149,
2012-09,16096,
2012-10,15981,
2012-11,16216,
2012-12,16415,
2013-01,16532,
2013-02,16913,
2013-03,16927,
2013-04,19104,
2013-05,18844,
2013-06,18180,
2013-07,18961,
2013-08,19258,
2013-09,19461,
2013-10,19880,
2013-11,20399,
2013-12,20478,
2014-01,20345,
2014-02,20470,
2014-03,21396,
2014-04,21614,
2014-05,22547,
2014-06,22993,
2014-07,23386,
2014-08,23960,
2014-09,25030,
2014-10,25961,
2014-11,26170,
