"",BBK01.OEAE11M,BBK01.OEAE11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:22,
2002-01,1.061,
2002-04,1.073,
2002-07,1.054,
2002-10,0.979,
2003-01,0.907,
2003-04,0.905,
2003-07,0.878,
2003-10,0.808,
2004-01,0.773,
2004-04,0.757,
2004-07,0.699,
2004-10,0.650,
2005-01,0.624,
2005-04,0.606,
2005-07,0.579,
2005-10,0.538,
2006-01,0.716,
2006-04,0.690,
2006-07,0.669,
2006-10,0.779,
2007-01,0.472,
2007-04,0.464,
2007-07,0.465,
2007-10,0.478,
2008-01,0.480,
2008-04,0.518,
2008-07,0.518,
2008-10,0.486,
2009-01,0.518,
2009-04,0.506,
2009-07,0.471,
2009-10,0.491,
2010-01,0.450,
2010-04,0.409,
2010-07,0.406,
2010-10,0.388,
2011-01,0.382,
2011-04,0.384,
2011-07,0.427,
2011-10,0.378,
2012-01,0.374,
2012-04,0.373,
2012-07,0.359,
2012-10,0.345,
2013-01,0.336,
2013-04,0.383,
2013-07,0.339,
2013-10,0.377,
2014-01,0.385,
2014-04,0.363,
2014-07,0.373,
