"",BBK01.OEAF09R,BBK01.OEAF09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:38,
2002-01,0.007,
2002-04,0.008,
2002-07,0.007,
2002-10,0.008,
2003-01,0.009,
2003-04,0.009,
2003-07,0.009,
2003-10,0.011,
2004-01,0.012,
2004-04,0.012,
2004-07,0.011,
2004-10,0.010,
2005-01,0.013,
2005-04,0.013,
2005-07,0.012,
2005-10,0.010,
2006-01,0.009,
2006-04,0.012,
2006-07,0.017,
2006-10,0.017,
2007-01,0.019,
2007-04,0.016,
2007-07,0.015,
2007-10,0.015,
2008-01,0.015,
2008-04,0.015,
2008-07,0.016,
2008-10,0.014,
2009-01,0.016,
2009-04,0.021,
2009-07,0.021,
2009-10,0.021,
2010-01,0.022,
2010-04,0.028,
2010-07,0.029,
2010-10,0.028,
2011-01,0.027,
2011-04,0.027,
2011-07,0.028,
2011-10,0.025,
2012-01,0.025,
2012-04,0.025,
2012-07,0.027,
2012-10,0.027,
2013-01,0.027,
2013-04,0.027,
2013-07,0.028,
2013-10,0.028,
2014-01,0.029,
2014-04,0.028,
2014-07,0.028,
