"",BBSF2.M.1.S.00000.AKT01.A.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.A.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number / Not defined / Distribution funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:51,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,126,
1993-05,128,
1993-06,127,
1993-07,128,
1993-08,131,
1993-09,132,
1993-10,133,
1993-11,136,
1993-12,138,
1994-01,142,
1994-02,146,
1994-03,149,
1994-04,153,
1994-05,154,
1994-06,155,
1994-07,160,
1994-08,160,
1994-09,162,
1994-10,164,
1994-11,164,
1994-12,167,
1995-01,168,
1995-02,170,
1995-03,171,
1995-04,171,
1995-05,171,
1995-06,169,
1995-07,171,
1995-08,171,
1995-09,171,
1995-10,170,
1995-11,169,
1995-12,173,
1996-01,178,
1996-02,179,
1996-03,179,
1996-04,182,
1996-05,183,
1996-06,183,
1996-07,186,
1996-08,183,
1996-09,183,
1996-10,184,
1996-11,183,
1996-12,194,
1997-01,201,
1997-02,203,
1997-03,204,
1997-04,207,
1997-05,211,
1997-06,215,
1997-07,222,
1997-08,227,
1997-09,229,
1997-10,238,
1997-11,242,
1997-12,244,
1998-01,247,
1998-02,250,
1998-03,258,
1998-04,259,
1998-05,264,
1998-06,270,
1998-07,276,
1998-08,279,
1998-09,284,
1998-10,284,
1998-11,289,
1998-12,292,
1999-01,295,
1999-02,298,
1999-03,299,
1999-04,306,
1999-05,309,
1999-06,308,
1999-07,307,
1999-08,307,
1999-09,308,
1999-10,308,
1999-11,312,
1999-12,314,
2000-01,314,
2000-02,314,
2000-03,316,
2000-04,318,
2000-05,325,
2000-06,323,
2000-07,328,
2000-08,328,
2000-09,335,
2000-10,333,
2000-11,333,
2000-12,338,
2001-01,343,
2001-02,348,
2001-03,351,
2001-04,351,
2001-05,352,
2001-06,354,
2001-07,360,
2001-08,361,
2001-09,361,
2001-10,361,
2001-11,362,
2001-12,359,
2002-01,362,
2002-02,357,
2002-03,355,
2002-04,350,
2002-05,348,
2002-06,347,
2002-07,345,
2002-08,350,
2002-09,351,
2002-10,364,
2002-11,363,
2002-12,354,
2003-01,348,
2003-02,343,
2003-03,336,
2003-04,336,
2003-05,333,
2003-06,325,
2003-07,319,
2003-08,320,
2003-09,318,
2003-10,322,
2003-11,320,
2003-12,332,
2004-01,322,
2004-02,326,
2004-03,332,
2004-04,328,
2004-05,332,
2004-06,323,
2004-07,325,
2004-08,326,
2004-09,323,
2004-10,321,
2004-11,309,
2004-12,303,
2005-01,301,
2005-02,302,
2005-03,299,
2005-04,301,
2005-05,307,
2005-06,317,
2005-07,318,
2005-08,323,
2005-09,321,
2005-10,325,
2005-11,330,
2005-12,317,
2006-01,323,
2006-02,323,
2006-03,325,
2006-04,326,
2006-05,321,
2006-06,316,
2006-07,329,
2006-08,332,
2006-09,327,
2006-10,324,
2006-11,324,
2006-12,309,
2007-01,310,
2007-02,308,
2007-03,309,
2007-04,301,
2007-05,300,
2007-06,292,
2007-07,289,
2007-08,291,
2007-09,287,
2007-10,287,
2007-11,286,
2007-12,286,
2008-01,286,
2008-02,283,
2008-03,286,
2008-04,285,
2008-05,282,
2008-06,281,
2008-07,278,
2008-08,276,
2008-09,267,
2008-10,266,
2008-11,270,
2008-12,271,
2009-01,270,
2009-02,262,
2009-03,257,
2009-04,238,
2009-05,235,
2009-06,228,
2009-07,226,
2009-08,228,
2009-09,236,
2009-10,231,
2009-11,225,
2009-12,227,
2010-01,225,
2010-02,224,
2010-03,221,
2010-04,220,
2010-05,218,
2010-06,214,
2010-07,214,
2010-08,213,
2010-09,208,
2010-10,203,
2010-11,205,
2010-12,199,
2011-01,197,
2011-02,198,
2011-03,196,
2011-04,196,
2011-05,196,
2011-06,195,
2011-07,196,
2011-08,195,
2011-09,192,
2011-10,190,
2011-11,190,
2011-12,194,
2012-01,190,
2012-02,187,
2012-03,183,
2012-04,182,
2012-05,179,
2012-06,179,
2012-07,179,
2012-08,179,
2012-09,179,
2012-10,180,
2012-11,179,
2012-12,182,
2013-01,184,
2013-02,182,
2013-03,181,
2013-04,178,
2013-05,180,
2013-06,180,
2013-07,178,
2013-08,178,
2013-09,173,
2013-10,174,
2013-11,173,
2013-12,173,
2014-01,171,
2014-02,173,
2014-03,173,
2014-04,172,
2014-05,172,
2014-06,172,
2014-07,169,
2014-08,167,
2014-09,166,
2014-10,162,
2014-11,163,
