"",BBK01.OEXI02I,BBK01.OEXI02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:34,
2002-01,10.579,
2002-04,9.482,
2002-07,9.855,
2002-10,11.124,
2003-01,11.522,
2003-04,11.792,
2003-07,7.402,
2003-10,6.742,
2004-01,7.634,
2004-04,7.947,
2004-07,8.067,
2004-10,7.901,
2005-01,8.254,
2005-04,8.595,
2005-07,8.742,
2005-10,8.981,
2006-01,9.159,
2006-04,9.881,
2006-07,8.139,
2006-10,12.570,
2007-01,12.298,
2007-04,12.485,
2007-07,13.008,
2007-10,12.611,
2008-01,13.179,
2008-04,12.700,
2008-07,12.372,
2008-10,18.363,
2009-01,22.095,
2009-04,24.056,
2009-07,25.807,
2009-10,28.060,
2010-01,30.941,
2010-04,31.052,
2010-07,32.108,
2010-10,33.644,
2011-01,35.553,
2011-04,36.879,
2011-07,38.688,
2011-10,40.906,
2012-01,45.634,
2012-04,49.451,
2012-07,50.346,
2012-10,50.912,
2013-01,52.075,
2013-04,52.777,
2013-07,53.513,
2013-10,54.504,
2014-01,55.104,
2014-04,55.208,
2014-07,55.241,
