"",BBFB1.Q.N.DE.GB.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:06,
1991-01,6339.275,
1991-04,6342.526,
1991-07,6207.554,
1991-10,6389.093,
1992-01,6914.052,
1992-04,6376.849,
1992-07,6420.566,
1992-10,6188.749,
1993-01,5803.294,
1993-04,6606.087,
1993-07,6569.823,
1993-10,6169.231,
1994-01,6448.487,
1994-04,7249.083,
1994-07,7092.795,
1994-10,6854.146,
1995-01,7446.652,
1995-04,8519.282,
1995-07,7958.969,
1995-10,7410.127,
1996-01,8058.333,
1996-04,7988.705,
1996-07,7864.368,
1996-10,8538.174,
1997-01,8684.512,
1997-04,9485.608,
1997-07,9748.905,
1997-10,9757.701,
1998-01,9804.832,
1998-04,10515.157,
1998-07,9975.569,
1998-10,10323.427,
1999-01,9723.619,
1999-04,9989.189,
1999-07,10812.919,
1999-10,10983.782,
2000-01,11389.631,
2000-04,11017.792,
2000-07,11075.059,
2000-10,12748.228,
2001-01,12544.996,
2001-04,13050.798,
2001-07,13484.260,
2001-10,13350.039,
2002-01,13139.505,
2002-04,13342.510,
2002-07,14560.601,
2002-10,13763.721,
2003-01,14471.893,
2003-04,12539.442,
2003-07,13452.838,
2003-10,13631.504,
2004-01,14797.598,
2004-04,14724.462,
2004-07,14756.984,
2004-10,14676.374,
2005-01,13041.362,
2005-04,13034.130,
2005-07,14323.117,
2005-10,11135.737,
2006-01,14056.779,
2006-04,13867.185,
2006-07,14534.306,
2006-10,15659.078,
2007-01,16764.488,
2007-04,16200.349,
2007-07,18218.132,
2007-10,18209.911,
2008-01,18183.486,
2008-04,17796.458,
2008-07,17272.029,
2008-10,14150.309,
2009-01,12965.289,
2009-04,13722.083,
2009-07,15089.898,
2009-10,14470.776,
2010-01,14232.227,
2010-04,15087.898,
2010-07,15793.516,
2010-10,15443.782,
2011-01,17953.434,
2011-04,16623.069,
2011-07,17274.124,
2011-10,17519.177,
2012-01,19559.499,
2012-04,19211.767,
2012-07,20026.206,
2012-10,18820.403,
2013-01,21126.881,
2013-04,20091.705,
2013-07,20628.462,
2013-10,20746.769,
2014-01,22894.393,Provisional value
2014-04,21975.705,Provisional value
2014-07,23565.510,Provisional value
