"",BBSF2.M.1.S.I1250.IMM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.IMM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:22,
2009-09,148,
2009-10,22,
2009-11,79,
2009-12,412,
2010-01,93,
2010-02,4,
2010-03,27,
2010-04,45,
2010-05,105,
2010-06,13,
2010-07,34,
2010-08,152,
2010-09,105,
2010-10,61,
2010-11,139,
2010-12,202,
2011-01,80,
2011-02,128,
2011-03,104,
2011-04,35,
2011-05,143,
2011-06,24,
2011-07,50,
2011-08,20,
2011-09,86,
2011-10,42,
2011-11,36,
2011-12,248,
2012-01,133,
2012-02,42,
2012-03,84,
2012-04,15,
2012-05,2,
2012-06,167,
2012-07,73,
2012-08,16,
2012-09,27,
2012-10,54,
2012-11,58,
2012-12,191,
2013-01,137,
2013-02,80,
2013-03,319,
2013-04,21,
2013-05,27,
2013-06,191,
2013-07,269,
2013-08,177,
2013-09,5,
2013-10,64,
2013-11,183,
2013-12,206,
2014-01,27,
2014-02,17,
2014-03,103,
2014-04,37,
2014-05,25,
2014-06,237,
2014-07,135,
2014-08,5,
2014-09,-,Nothing exists
2014-10,283,
2014-11,121,
