"",BBK01.OEAE15G,BBK01.OEAE15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:53,
2002-01,3.496,
2002-04,3.892,
2002-07,3.581,
2002-10,3.452,
2003-01,3.130,
2003-04,3.182,
2003-07,3.098,
2003-10,2.949,
2004-01,2.758,
2004-04,2.831,
2004-07,3.090,
2004-10,2.968,
2005-01,2.878,
2005-04,3.514,
2005-07,2.944,
2005-10,2.908,
2006-01,3.121,
2006-04,3.488,
2006-07,3.387,
2006-10,3.240,
2007-01,3.290,
2007-04,3.252,
2007-07,3.458,
2007-10,3.502,
2008-01,3.842,
2008-04,3.601,
2008-07,3.792,
2008-10,3.495,
2009-01,3.537,
2009-04,3.438,
2009-07,3.354,
2009-10,3.227,
2010-01,3.070,
2010-04,3.279,
2010-07,3.013,
2010-10,2.485,
2011-01,2.691,
2011-04,2.772,
2011-07,2.679,
2011-10,2.625,
2012-01,2.764,
2012-04,3.128,
2012-07,3.135,
2012-10,3.032,
2013-01,2.755,
2013-04,2.869,
2013-07,2.823,
2013-10,2.627,
2014-01,2.423,
2014-04,2.565,
2014-07,2.375,
