"",BBK01.OEXB13G,BBK01.OEXB13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:57,
2002-01,5.937,
2002-04,7.356,
2002-07,7.421,
2002-10,7.710,
2003-01,7.642,
2003-04,7.570,
2003-07,7.862,
2003-10,8.225,
2004-01,8.216,
2004-04,8.327,
2004-07,8.233,
2004-10,9.113,
2005-01,7.340,
2005-04,7.327,
2005-07,4.429,
2005-10,4.489,
2006-01,4.509,
2006-04,4.558,
2006-07,4.523,
2006-10,3.847,
2007-01,3.927,
2007-04,4.009,
2007-07,4.082,
2007-10,4.161,
2008-01,4.258,
2008-04,4.405,
2008-07,4.443,
2008-10,4.625,
2009-01,4.700,
2009-04,4.641,
2009-07,4.651,
2009-10,4.641,
2010-01,4.610,
2010-04,4.637,
2010-07,4.694,
2010-10,4.692,
2011-01,4.687,
2011-04,4.715,
2011-07,4.781,
2011-10,4.851,
2012-01,4.869,
2012-04,4.912,
2012-07,4.853,
2012-10,4.838,
2013-01,4.837,
2013-04,4.873,
2013-07,4.869,
2013-10,4.912,
2014-01,4.930,
2014-04,4.939,
2014-07,4.960,
