"",BBK01.OEBO03U,BBK01.OEBO03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:58,
2002-01,0.360,
2002-04,0.472,
2002-07,0.267,
2002-10,0.249,
2003-01,0.317,
2003-04,0.286,
2003-07,0.264,
2003-10,0.266,
2004-01,0.300,
2004-04,0.276,
2004-07,0.229,
2004-10,0.231,
2005-01,0.401,
2005-04,0.345,
2005-07,0.343,
2005-10,0.329,
2006-01,0.382,
2006-04,0.380,
2006-07,0.345,
2006-10,0.395,
2007-01,0.479,
2007-04,0.360,
2007-07,0.350,
2007-10,0.387,
2008-01,0.446,
2008-04,0.408,
2008-07,0.407,
2008-10,0.455,
2009-01,0.468,
2009-04,0.397,
2009-07,0.374,
2009-10,0.415,
2010-01,0.446,
2010-04,0.297,
2010-07,0.243,
2010-10,0.282,
2011-01,0.338,
2011-04,0.283,
2011-07,0.302,
2011-10,0.284,
2012-01,0.348,
2012-04,0.257,
2012-07,0.272,
2012-10,0.295,
2013-01,0.381,
2013-04,0.270,
2013-07,0.219,
2013-10,0.207,
2014-01,0.223,
2014-04,0.210,
2014-07,0.225,
