"",BBK01.OEHB16N,BBK01.OEHB16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:12,
2002-01,31.949,
2002-04,32.221,
2002-07,32.309,
2002-10,31.703,
2003-01,32.371,
2003-04,32.466,
2003-07,32.666,
2003-10,32.759,
2004-01,32.345,
2004-04,32.297,
2004-07,32.409,
2004-10,32.110,
2005-01,32.194,
2005-04,32.427,
2005-07,32.583,
2005-10,33.058,
2006-01,33.258,
2006-04,33.824,
2006-07,33.959,
2006-10,34.168,
2007-01,33.962,
2007-04,33.933,
2007-07,34.081,
2007-10,34.217,
2008-01,34.179,
2008-04,34.440,
2008-07,34.520,
2008-10,34.616,
2009-01,34.330,
2009-04,34.713,
2009-07,35.003,
2009-10,35.189,
2010-01,35.029,
2010-04,35.398,
2010-07,35.573,
2010-10,35.758,
2011-01,35.611,
2011-04,35.747,
2011-07,36.013,
2011-10,36.168,
2012-01,36.271,
2012-04,36.538,
2012-07,36.806,
2012-10,36.810,
2013-01,36.856,
2013-04,36.938,
2013-07,37.234,
2013-10,37.264,
2014-01,37.170,
2014-04,37.230,
2014-07,37.452,
