"",BBK01.OEAC32R,BBK01.OEAC32R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:03,
2002-01,0.042,
2002-04,0.044,
2002-07,0.045,
2002-10,0.045,
2003-01,0.042,
2003-04,0.043,
2003-07,0.052,
2003-10,0.048,
2004-01,0.049,
2004-04,0.046,
2004-07,0.043,
2004-10,0.039,
2005-01,0.038,
2005-04,0.038,
2005-07,0.037,
2005-10,0.040,
2006-01,0.037,
2006-04,0.041,
2006-07,0.047,
2006-10,0.051,
2007-01,0.048,
2007-04,0.051,
2007-07,0.050,
2007-10,0.044,
2008-01,0.042,
2008-04,0.045,
2008-07,0.042,
2008-10,0.056,
2009-01,0.111,
2009-04,0.128,
2009-07,0.044,
2009-10,0.059,
2010-01,0.043,
2010-04,0.041,
2010-07,0.037,
2010-10,0.040,
2011-01,0.036,
2011-04,0.038,
2011-07,0.040,
2011-10,0.041,
2012-01,0.051,
2012-04,0.054,
2012-07,0.040,
2012-10,0.036,
2013-01,0.060,
2013-04,0.058,
2013-07,0.062,
2013-10,0.060,
2014-01,0.059,
2014-04,0.049,
2014-07,0.050,
