"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.FR.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.FR.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / France,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:43,
2009-09,16527,
2009-10,16569,
2009-11,16684,
2009-12,16706,
2010-01,16750,
2010-02,16900,
2010-03,16982,
2010-04,17122,
2010-05,17145,
2010-06,17108,
2010-07,17134,
2010-08,17201,
2010-09,17010,
2010-10,16924,
2010-11,16939,
2010-12,16242,
2011-01,16242,
2011-02,16237,
2011-03,16138,
2011-04,16121,
2011-05,16078,
2011-06,15988,
2011-07,15947,
2011-08,15946,
2011-09,15828,
2011-10,15501,
2011-11,15558,
2011-12,14701,
2012-01,14697,
2012-02,14670,
2012-03,14668,
2012-04,14392,
2012-05,14370,
2012-06,14390,
2012-07,14331,
2012-08,14333,
2012-09,14183,
2012-10,14104,
2012-11,13910,
2012-12,13670,
2013-01,13649,
2013-02,13669,
2013-03,13472,
2013-04,13422,
2013-05,13543,
2013-06,12770,
2013-07,12593,
2013-08,12554,
2013-09,11961,
2013-10,11989,
2013-11,11980,
2013-12,11574,
2014-01,11549,
2014-02,11364,
2014-03,11494,
2014-04,11407,
2014-05,11367,
2014-06,11357,
2014-07,11113,
2014-08,11079,
2014-09,11308,
2014-10,10811,
2014-11,10632,
