"",BBK01.OELK03I,BBK01.OELK03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:24,
2002-01,0.226,
2002-04,0.186,
2002-07,0.180,
2002-10,0.173,
2003-01,0.148,
2003-04,0.129,
2003-07,0.110,
2003-10,0.096,
2004-01,0.087,
2004-04,0.065,
2004-07,0.066,
2004-10,0.063,
2005-01,0.057,
2005-04,0.054,
2005-07,0.055,
2005-10,0.054,
2006-01,0.056,
2006-04,0.061,
2006-07,0.057,
2006-10,0.064,
2007-01,0.038,
2007-04,0.030,
2007-07,0.032,
2007-10,0.035,
2008-01,0.041,
2008-04,0.052,
2008-07,0.109,
2008-10,0.109,
2009-01,0.093,
2009-04,0.075,
2009-07,0.060,
2009-10,0.040,
2010-01,0.032,
2010-04,0.024,
2010-07,0.022,
2010-10,0.041,
2011-01,0.044,
2011-04,0.049,
2011-07,0.038,
2011-10,0.044,
2012-01,0.039,
2012-04,0.033,
2012-07,0.027,
2012-10,0.024,
2013-01,0.021,
2013-04,0.018,
2013-07,0.019,
2013-10,0.019,
2014-01,0.021,
2014-04,0.021,
2014-07,0.018,
