"",BBSF2.M.1.S.00000.TOT01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.TOT01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Funds total / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:01,
2009-09,125035,
2009-10,123434,
2009-11,123354,
2009-12,123693,
2010-01,123643,
2010-02,124296,
2010-03,125030,
2010-04,127314,
2010-05,128487,
2010-06,128639,
2010-07,127268,
2010-08,130104,
2010-09,127910,
2010-10,125752,
2010-11,124994,
2010-12,125743,
2011-01,123229,
2011-02,123445,
2011-03,122590,
2011-04,121192,
2011-05,122217,
2011-06,121871,
2011-07,124556,
2011-08,127814,
2011-09,128078,
2011-10,128325,
2011-11,128248,
2011-12,130725,
2012-01,125893,
2012-02,125480,
2012-03,123890,
2012-04,123330,
2012-05,124601,
2012-06,123207,
2012-07,124288,
2012-08,124601,
2012-09,123483,
2012-10,121996,
2012-11,120137,
2012-12,119254,
2013-01,115530,
2013-02,117043,
2013-03,117041,
2013-04,116510,
2013-05,114862,
2013-06,114451,
2013-07,114512,
2013-08,114494,
2013-09,113270,
2013-10,111613,
2013-11,110760,
2013-12,110541,
2014-01,111257,
2014-02,111032,
2014-03,111222,
2014-04,108851,
2014-05,108811,
2014-06,110095,
2014-07,111141,
2014-08,112838,
2014-09,112936,
2014-10,115238,
2014-11,115771,
