"",BBFB1.M.N.DE.W1.S1.S1.T.D.D42.P.F51._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D42.P.F51._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Portfolio investment / Dividends on shares / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:20,
1991-01,34.974,
1991-02,48.216,
1991-03,72.619,
1991-04,144.253,
1991-05,344.204,
1991-06,486.096,
1991-07,393.699,
1991-08,82.991,
1991-09,32.102,
1991-10,23.981,
1991-11,225.717,
1991-12,121.231,
1992-01,27.365,
1992-02,52.299,
1992-03,204.107,
1992-04,229.227,
1992-05,431.540,
1992-06,266.970,
1992-07,368.306,
1992-08,105.165,
1992-09,18.563,
1992-10,41.172,
1992-11,269.411,
1992-12,114.313,
1993-01,62.195,
1993-02,136.479,
1993-03,225.696,
1993-04,242.049,
1993-05,553.224,
1993-06,180.267,
1993-07,167.952,
1993-08,165.309,
1993-09,84.337,
1993-10,40.561,
1993-11,601.691,
1993-12,435.844,
1994-01,222.643,
1994-02,166.372,
1994-03,274.431,
1994-04,205.726,
1994-05,723.894,
1994-06,255.416,
1994-07,232.628,
1994-08,150.601,
1994-09,42.385,
1994-10,119.038,
1994-11,611.482,
1994-12,328.155,
1995-01,208.692,
1995-02,236.486,
1995-03,206.946,
1995-04,261.975,
1995-05,766.954,
1995-06,320.248,
1995-07,263.744,
1995-08,208.420,
1995-09,59.867,
1995-10,89.017,
1995-11,687.850,
1995-12,299.200,
1996-01,149.814,
1996-02,243.402,
1996-03,130.725,
1996-04,338.513,
1996-05,747.526,
1996-06,305.219,
1996-07,289.752,
1996-08,153.933,
1996-09,82.568,
1996-10,97.271,
1996-11,572.995,
1996-12,289.472,
1997-01,125.995,
1997-02,381.844,
1997-03,235.071,
1997-04,196.697,
1997-05,1128.622,
1997-06,568.951,
1997-07,391.842,
1997-08,147.141,
1997-09,115.844,
1997-10,74.497,
1997-11,517.724,
1997-12,433.226,
1998-01,118.376,
1998-02,335.966,
1998-03,250.660,
1998-04,304.665,
1998-05,1568.199,
1998-06,2378.964,
1998-07,472.362,
1998-08,208.451,
1998-09,72.340,
1998-10,109.469,
1998-11,411.211,
1998-12,224.466,
1999-01,514.003,
1999-02,402.707,
1999-03,180.642,
1999-04,298.798,
1999-05,2499.436,
1999-06,488.420,
1999-07,558.508,
1999-08,178.962,
1999-09,126.138,
1999-10,91.128,
1999-11,318.668,
1999-12,728.491,
2000-01,45.987,
2000-02,441.287,
2000-03,89.365,
2000-04,1108.167,
2000-05,1887.801,
2000-06,746.618,
2000-07,672.100,
2000-08,236.092,
2000-09,140.743,
2000-10,92.738,
2000-11,148.517,
2000-12,424.820,
2001-01,87.173,
2001-02,628.982,
2001-03,203.573,
2001-04,1514.857,
2001-05,2170.267,
2001-06,838.232,
2001-07,722.756,
2001-08,159.731,
2001-09,44.250,
2001-10,35.401,
2001-11,18.732,
2001-12,247.219,
2002-01,346.767,
2002-02,38.127,
2002-03,69.539,
2002-04,763.093,
2002-05,2385.608,
2002-06,688.165,
2002-07,499.146,
2002-08,96.401,
2002-09,219.654,
2002-10,45.188,
2002-11,126.917,
2002-12,44.775,
2003-01,556.041,
2003-02,157.542,
2003-03,57.393,
2003-04,1635.607,
2003-05,2013.387,
2003-06,1080.526,
