"",BBK01.OELO05H,BBK01.OELO05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:56,
2002-01,0.222,
2002-04,0.127,
2002-07,0.127,
2002-10,0.828,
2003-01,0.336,
2003-04,0.104,
2003-07,0.111,
2003-10,0.724,
2004-01,0.197,
2004-04,0.112,
2004-07,0.097,
2004-10,0.752,
2005-01,0.144,
2005-04,0.099,
2005-07,0.104,
2005-10,0.646,
2006-01,0.128,
2006-04,0.091,
2006-07,0.094,
2006-10,0.681,
2007-01,0.118,
2007-04,0.089,
2007-07,0.100,
2007-10,0.773,
2008-01,0.107,
2008-04,0.089,
2008-07,0.104,
2008-10,0.783,
2009-01,0.103,
2009-04,0.080,
2009-07,0.094,
2009-10,0.580,
2010-01,0.143,
2010-04,0.072,
2010-07,0.081,
2010-10,0.501,
2011-01,0.096,
2011-04,0.069,
2011-07,0.079,
2011-10,0.514,
2012-01,0.090,
2012-04,0.071,
2012-07,0.079,
2012-10,0.475,
2013-01,0.091,
2013-04,0.067,
2013-07,0.064,
2013-10,0.400,
2014-01,0.073,
2014-04,0.059,
2014-07,0.055,
