"",BBK01.OELL01N,BBK01.OELL01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:41,
2002-01,57.660,
2002-04,57.516,
2002-07,57.384,
2002-10,59.058,
2003-01,59.523,
2003-04,59.473,
2003-07,58.591,
2003-10,59.426,
2004-01,59.641,
2004-04,59.719,
2004-07,59.220,
2004-10,60.198,
2005-01,60.265,
2005-04,60.734,
2005-07,60.870,
2005-10,61.883,
2006-01,62.257,
2006-04,62.320,
2006-07,61.900,
2006-10,62.063,
2007-01,61.885,
2007-04,61.842,
2007-07,62.045,
2007-10,63.222,
2008-01,63.174,
2008-04,63.542,
2008-07,60.561,
2008-10,64.359,
2009-01,63.879,
2009-04,65.195,
2009-07,65.609,
2009-10,67.230,
2010-01,68.469,
2010-04,69.428,
2010-07,69.654,
2010-10,71.020,
2011-01,71.069,
2011-04,71.226,
2011-07,71.570,
2011-10,73.074,
2012-01,73.079,
2012-04,73.605,
2012-07,73.670,
2012-10,74.554,
2013-01,74.921,
2013-04,75.154,
2013-07,74.855,
2013-10,76.274,
2014-01,76.116,
2014-04,76.633,
2014-07,77.051,
