"",BBK01.OEAK06M,BBK01.OEAK06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:38,
2002-01,0.281,
2002-04,0.272,
2002-07,0.264,
2002-10,0.253,
2003-01,0.251,
2003-04,0.255,
2003-07,0.258,
2003-10,0.258,
2004-01,0.248,
2004-04,0.245,
2004-07,0.252,
2004-10,0.301,
2005-01,0.299,
2005-04,0.271,
2005-07,0.265,
2005-10,0.276,
2006-01,0.288,
2006-04,0.306,
2006-07,0.334,
2006-10,0.358,
2007-01,0.400,
2007-04,0.413,
2007-07,0.438,
2007-10,0.481,
2008-01,0.541,
2008-04,0.552,
2008-07,0.579,
2008-10,0.643,
2009-01,0.675,
2009-04,0.653,
2009-07,0.617,
2009-10,0.630,
2010-01,0.672,
2010-04,0.684,
2010-07,0.682,
2010-10,0.689,
2011-01,0.677,
2011-04,0.716,
2011-07,0.716,
2011-10,0.721,
2012-01,0.661,
2012-04,0.630,
2012-07,0.611,
2012-10,0.548,
2013-01,0.433,
2013-04,0.383,
2013-07,0.352,
2013-10,0.342,
2014-01,0.319,
2014-04,0.264,
2014-07,0.243,
