"",BBK01.OEBM02K,BBK01.OEBM02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:23,
2002-01,0.243,
2002-04,0.190,
2002-07,0.197,
2002-10,0.179,
2003-01,0.202,
2003-04,0.387,
2003-07,0.196,
2003-10,0.231,
2004-01,0.246,
2004-04,0.264,
2004-07,0.245,
2004-10,0.233,
2005-01,0.312,
2005-04,0.279,
2005-07,0.375,
2005-10,0.242,
2006-01,0.404,
2006-04,0.385,
2006-07,0.391,
2006-10,0.277,
2007-01,0.272,
2007-04,0.385,
2007-07,0.280,
2007-10,0.445,
2008-01,0.341,
2008-04,0.668,
2008-07,0.600,
2008-10,1.052,
2009-01,1.349,
2009-04,2.010,
2009-07,1.604,
2009-10,1.906,
2010-01,2.081,
2010-04,2.066,
2010-07,1.402,
2010-10,1.201,
2011-01,1.300,
2011-04,1.041,
2011-07,1.101,
2011-10,0.978,
2012-01,1.875,
2012-04,1.730,
2012-07,1.692,
2012-10,1.174,
2013-01,1.703,
2013-04,1.377,
2013-07,1.646,
2013-10,1.061,
2014-01,1.720,
2014-04,1.323,
2014-07,1.280,
