"",BBK01.OECK01S,BBK01.OECK01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:40,
2002-01,0.272,
2002-04,0.287,
2002-07,0.268,
2002-10,0.203,
2003-01,0.192,
2003-04,0.184,
2003-07,0.186,
2003-10,0.184,
2004-01,0.181,
2004-04,0.175,
2004-07,0.176,
2004-10,0.181,
2005-01,0.198,
2005-04,0.199,
2005-07,0.205,
2005-10,0.215,
2006-01,0.207,
2006-04,0.205,
2006-07,0.207,
2006-10,0.229,
2007-01,0.228,
2007-04,0.235,
2007-07,0.261,
2007-10,0.250,
2008-01,0.253,
2008-04,0.263,
2008-07,0.359,
2008-10,0.343,
2009-01,0.307,
2009-04,0.300,
2009-07,0.286,
2009-10,0.285,
2010-01,0.278,
2010-04,0.268,
2010-07,0.276,
2010-10,0.275,
2011-01,0.271,
2011-04,0.271,
2011-07,0.277,
2011-10,0.299,
2012-01,0.287,
2012-04,0.292,
2012-07,0.299,
2012-10,0.301,
2013-01,0.285,
2013-04,0.290,
2013-07,0.302,
2013-10,0.318,
2014-01,0.310,
2014-04,0.321,
2014-07,0.338,
