"",BBEX3.M.AFN.USD.CA.AC.A01,BBEX3.M.AFN.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Afghanistan / USD 1 = AFN ... (middle),
unit,AFN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:33,
2005-07,49.71000,
2005-08,49.25000,
2005-09,48.95000,
2005-10,48.70000,
2005-11,49.87000,
2005-12,50.36000,
2006-01,50.34000,
2006-02,49.85000,
2006-03,49.96000,
2006-04,49.86000,
2006-05,49.80000,
2006-06,50.12000,
2006-07,50.04000,
2006-08,50.05000,
2006-09,50.09000,
2006-10,49.92000,
2006-11,49.87000,
2006-12,49.91000,
2007-01,50.07000,
2007-02,50.06000,
2007-03,50.19000,
2007-04,50.26000,
2007-05,50.05000,
2007-06,49.81000,
2007-07,49.89000,
2007-08,49.88000,
2007-09,49.83000,
2007-10,49.96000,
2007-11,49.91000,
2007-12,49.67000,
2008-01,49.54000,
2008-02,49.48000,
2008-03,50.05000,
2008-04,50.04000,
2008-05,49.76000,comment
2008-06,50.03000,
2008-07,50.07000,
2008-08,50.32000,
2008-09,50.16000,
2008-10,51.81000,
2008-11,52.25000,
2008-12,52.09000,
2009-01,52.26000,
2009-02,52.39000,
2009-03,51.24000,comment
2009-04,49.86000,
2009-05,50.09000,
2009-06,50.15000,
2009-07,49.66000,
2009-08,50.00000,
2009-09,49.65000,
2009-10,49.26000,
2009-11,48.50000,
2009-12,48.55000,
2010-01,47.43000,
2010-02,47.60000,
2010-03,48.35000,
2010-04,47.13000,
2010-05,46.53000,
2010-06,46.00000,
2010-07,46.26000,
2010-08,45.47000,
2010-09,45.07000,
2010-10,45.17000,
2010-11,45.18000,
2010-12,45.76000,
2011-01,45.28000,
2011-02,45.25000,
2011-03,45.27440,
2011-04,45.55000,
2011-05,46.56000,
2011-06,45.35000,
2011-07,47.18000,
2011-08,47.14000,
2011-09,48.39000,
2011-10,48.16000,
2011-11,48.28000,
2011-12,49.31000,
2012-01,49.32000,
2012-02,49.38000,
2012-03,50.02000,
2012-04,49.94000,
2012-05,50.20000,
2012-06,51.74000,
2012-07,51.83000,
2012-08,51.43000,
2012-09,52.05000,
2012-10,52.93000,
2012-11,51.26000,
2012-12,52.08000,
2013-01,51.80000,
2013-02,52.87000,
2013-03,54.11000,
2013-04,54.95000,
2013-05,55.34000,
2013-06,56.34000,
2013-07,55.30000,
2013-08,56.58000,
2013-09,57.44000,
2013-10,57.63000,
2013-11,58.19000,
2013-12,56.01000,
2014-01,57.06000,
2014-02,57.43000,
2014-03,57.66000,
2014-04,57.33000,
2014-05,57.61000,
2014-06,57.94000,
2014-07,56.41000,
2014-08,57.08000,
2014-09,56.88000,
2014-10,57.80000,
2014-11,57.84000,
2014-12,58.32000,
2015-01,57.34000,
"","Source: Calculated on the basis of the buying and selling rates of the Da Afghanistan Bank, Kabul.",
"",Comment on 2008-05: Exchange rate as of 1 June 2008.,
"",Comment on 2009-03: Exchange rate as of 23 March 2009.,
