"",BBK01.QUW664,BBK01.QUW664_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Remaining countries in America  / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:51:01,
2001-12,0.963,
2002-01,0.937,
2002-02,2.611,
2002-03,2.568,
2002-04,0.720,
2002-05,0.584,
2002-06,0.626,
2002-07,0.680,
2002-08,0.676,
2002-09,0.831,
2002-10,0.809,
2002-11,0.830,
2002-12,0.439,
2003-01,0.426,
2003-02,0.463,
2003-03,0.423,
2003-04,0.570,
2003-05,0.591,
2003-06,0.424,
2003-07,0.421,
2003-08,0.454,
2003-09,0.454,
2003-10,0.402,
2003-11,0.401,
2003-12,1.040,
2004-01,1.043,
2004-02,1.022,
2004-03,0.750,
2004-04,0.893,
2004-05,0.313,
2004-06,0.301,
2004-07,0.369,
2004-08,0.368,
2004-09,0.333,
2004-10,0.291,
2004-11,0.255,
2004-12,0.265,
2005-01,0.298,
2005-02,0.328,
2005-03,0.426,
2005-04,0.456,
2005-05,0.367,
2005-06,0.301,
2005-07,0.195,
2005-08,0.082,
2005-09,0.093,
2005-10,0.134,
2005-11,0.131,
2005-12,0.131,
2006-01,0.112,
2006-02,0.113,
2006-03,0.136,
2006-04,0.138,
2006-05,0.228,
2006-06,0.156,
2006-07,0.120,
2006-08,0.091,
2006-09,0.069,
2006-10,0.068,
2006-11,0.068,
2006-12,0.096,
2007-01,0.066,
2007-02,0.122,
2007-03,0.143,
2007-04,0.155,
2007-05,0.147,
2007-06,0.259,
2007-07,0.373,
2007-08,0.561,
2007-09,0.160,
2007-10,0.147,
2007-11,0.192,
2007-12,0.237,
2008-01,0.214,
2008-02,0.232,
2008-03,0.232,
2008-04,0.158,
2008-05,0.209,
2008-06,0.545,
2008-07,0.449,
2008-08,0.346,
2008-09,0.250,
2008-10,0.280,
2008-11,0.129,
2008-12,0.118,
2009-01,0.101,
2009-02,0.124,
2009-03,0.113,
2009-04,0.273,
2009-05,0.402,
2009-06,0.333,
2009-07,0.701,
2009-08,0.417,
2009-09,0.266,
2009-10,0.260,
2009-11,0.115,
2009-12,0.122,
2010-01,0.166,
2010-02,0.165,
2010-03,0.165,
2010-04,0.164,
2010-05,0.164,
2010-06,0.205,
2010-07,0.166,
2010-08,0.267,
2010-09,0.189,
2010-10,0.169,
2010-11,0.134,
2010-12,0.094,
2011-01,0.065,
2011-02,0.170,
2011-03,0.106,
2011-04,0.337,
2011-05,0.311,
2011-06,0.190,
2011-07,0.336,
2011-08,0.137,
2011-09,0.125,
2011-10,0.174,
2011-11,0.205,
2011-12,0.150,
2012-01,0.222,
2012-02,0.187,
2012-03,0.339,
2012-04,0.143,
2012-05,0.130,
2012-06,0.102,
2012-07,0.087,
2012-08,0.448,
2012-09,0.764,
2012-10,0.543,
2012-11,0.446,
2012-12,0.374,
2013-01,0.412,
2013-02,0.201,
2013-03,0.294,
2013-04,0.288,
2013-05,0.261,
2013-06,0.383,
2013-07,0.311,
2013-08,0.378,
2013-09,0.544,
2013-10,0.495,
2013-11,0.425,
2013-12,0.408,
2014-01,0.390,
2014-02,0.279,
2014-03,0.220,
2014-04,0.224,
2014-05,0.311,
2014-06,0.360,
2014-07,0.345,
2014-08,0.341,
2014-09,0.385,
2014-10,0.410,
2014-11,0.472,
