"",BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:14,
1991-01,215.249,
1991-04,-68.243,
1991-07,-336.145,
1991-10,147.285,
1992-01,83.963,
1992-04,-359.864,
1992-07,-162.743,
1992-10,-590.457,
1993-01,115.168,
1993-04,322.958,
1993-07,-106.601,
1993-10,320.190,
1994-01,-347.860,
1994-04,-249.865,
1994-07,-307.054,
1994-10,172.906,
1995-01,78.005,
1995-04,-386.957,
1995-07,92.360,
1995-10,-106.034,
1996-01,24.417,
1996-04,409.113,
1996-07,-43.396,
1996-10,-97.742,
1997-01,598.572,
1997-04,300.885,
1997-07,-325.682,
1997-10,1257.282,
1998-01,217.751,
1998-04,283.297,
1998-07,-225.864,
1998-10,1461.236,
1999-01,2538.980,
1999-04,11082.990,
1999-07,-2490.846,
1999-10,-8568.384,
2000-01,4172.212,
2000-04,-3156.820,
2000-07,-860.124,
2000-10,4798.157,
2001-01,1446.373,
2001-04,-159.828,
2001-07,1909.633,
2001-10,660.451,
2002-01,2248.154,
2002-04,-1028.300,
2002-07,-477.942,
2002-10,2275.785,
2003-01,-739.951,
2003-04,1654.744,
2003-07,124.978,
2003-10,1484.345,
2004-01,22.922,
2004-04,132.744,
2004-07,1279.862,
2004-10,1035.020,
2005-01,1930.145,
2005-04,324.615,
2005-07,1539.122,
2005-10,873.311,
2006-01,1194.086,
2006-04,2576.160,
2006-07,1462.483,
2006-10,6880.839,
2007-01,-3772.320,
2007-04,4831.910,
2007-07,-6478.595,
2007-10,7782.137,
2008-01,-5650.443,
2008-04,2759.536,
2008-07,1379.266,
2008-10,-598.985,
2009-01,-7919.895,
2009-04,6912.309,
2009-07,283.481,
2009-10,6628.561,
2010-01,365.258,
2010-04,-3184.181,
2010-07,-7187.422,
2010-10,-3028.794,
2011-01,-4081.572,
2011-04,-5695.084,
2011-07,-3333.228,
2011-10,3771.954,
2012-01,835.869,
2012-04,5267.239,
2012-07,-1097.618,
2012-10,-1565.921,
2013-01,1701.988,
2013-04,-3015.921,
2013-07,594.548,
2013-10,-318.779,
2014-01,6730.035,Provisional value
2014-04,-4440.476,Provisional value
2014-07,278.493,Provisional value
2014-10,630.046,Provisional value
