"",BBK01.OELB07R,BBK01.OELB07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:07,
2002-01,0.124,
2002-04,0.120,
2002-07,0.121,
2002-10,0.120,
2003-01,0.114,
2003-04,0.111,
2003-07,0.109,
2003-10,0.108,
2004-01,0.103,
2004-04,0.099,
2004-07,0.100,
2004-10,0.095,
2005-01,0.089,
2005-04,0.086,
2005-07,0.083,
2005-10,0.078,
2006-01,0.074,
2006-04,0.071,
2006-07,0.071,
2006-10,0.069,
2007-01,0.068,
2007-04,0.067,
2007-07,0.063,
2007-10,0.062,
2008-01,0.063,
2008-04,0.061,
2008-07,0.068,
2008-10,0.067,
2009-01,0.069,
2009-04,0.074,
2009-07,0.077,
2009-10,0.077,
2010-01,0.080,
2010-04,0.084,
2010-07,0.086,
2010-10,0.084,
2011-01,0.087,
2011-04,0.087,
2011-07,0.091,
2011-10,0.086,
2012-01,0.089,
2012-04,0.119,
2012-07,0.118,
2012-10,0.117,
2013-01,0.119,
2013-04,0.123,
2013-07,0.123,
2013-10,0.125,
2014-01,0.116,
2014-04,0.120,
2014-07,0.115,
