"",BBK01.OEAB04M,BBK01.OEAB04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:15,
2002-01,180.897,
2002-04,175.317,
2002-07,177.214,
2002-10,178.981,
2003-01,180.861,
2003-04,192.327,
2003-07,194.566,
2003-10,195.113,
2004-01,195.302,
2004-04,194.772,
2004-07,193.540,
2004-10,193.581,
2005-01,197.515,
2005-04,200.839,
2005-07,202.419,
2005-10,203.060,
2006-01,204.481,
2006-04,205.912,
2006-07,198.194,
2006-10,200.241,
2007-01,204.000,
2007-04,202.610,
2007-07,202.843,
2007-10,202.982,
2008-01,201.535,
2008-04,202.908,
2008-07,205.206,
2008-10,206.535,
2009-01,206.995,
2009-04,209.431,
2009-07,210.460,
2009-10,210.994,
2010-01,211.626,
2010-04,211.589,
2010-07,210.854,
2010-10,212.944,
2011-01,212.080,
2011-04,213.673,
2011-07,215.855,
2011-10,216.846,
2012-01,215.610,
2012-04,219.193,
2012-07,219.365,
2012-10,219.667,
2013-01,219.800,
2013-04,219.293,
2013-07,218.419,
2013-10,218.197,
2014-01,217.613,
2014-04,218.036,
2014-07,218.975,
