"",BBK01.OEAH81V,BBK01.OEAH81V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:14,
2002-01,0.008,
2002-04,0.008,
2002-07,0.008,
2002-10,0.009,
2003-01,0.012,
2003-04,0.018,
2003-07,0.024,
2003-10,0.022,
2004-01,0.027,
2004-04,0.035,
2004-07,0.035,
2004-10,0.037,
2005-01,0.051,
2005-04,0.052,
2005-07,0.052,
2005-10,0.048,
2006-01,0.047,
2006-04,0.048,
2006-07,0.050,
2006-10,0.047,
2007-01,0.049,
2007-04,0.046,
2007-07,0.019,
2007-10,0.012,
2008-01,0.011,
2008-04,0.011,
2008-07,0.009,
2008-10,0.017,
2009-01,0.029,
2009-04,0.040,
2009-07,0.057,
2009-10,0.064,
2010-01,0.120,
2010-04,0.083,
2010-07,0.087,
2010-10,0.089,
2011-01,0.083,
2011-04,0.068,
2011-07,0.065,
2011-10,0.065,
2012-01,0.071,
2012-04,0.205,
2012-07,0.210,
2012-10,0.227,
2013-01,0.234,
2013-04,0.239,
2013-07,0.262,
2013-10,0.263,
2014-01,0.277,
2014-04,0.271,
2014-07,0.268,
