"",BBK01.OEAH07I,BBK01.OEAH07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:21,
2002-01,31.420,
2002-04,31.327,
2002-07,31.245,
2002-10,30.606,
2003-01,30.461,
2003-04,30.112,
2003-07,29.741,
2003-10,31.505,
2004-01,32.207,
2004-04,32.148,
2004-07,32.833,
2004-10,33.204,
2005-01,34.862,
2005-04,33.226,
2005-07,33.852,
2005-10,34.210,
2006-01,35.367,
2006-04,36.939,
2006-07,37.693,
2006-10,37.735,
2007-01,38.126,
2007-04,39.125,
2007-07,39.770,
2007-10,39.471,
2008-01,39.346,
2008-04,39.994,
2008-07,40.443,
2008-10,40.389,
2009-01,40.650,
2009-04,39.401,
2009-07,39.450,
2009-10,39.122,
2010-01,38.767,
2010-04,38.438,
2010-07,38.924,
2010-10,41.865,
2011-01,42.948,
2011-04,43.961,
2011-07,43.919,
2011-10,44.287,
2012-01,44.060,
2012-04,44.236,
2012-07,44.045,
2012-10,43.514,
2013-01,43.237,
2013-04,43.120,
2013-07,42.032,
2013-10,41.776,
2014-01,42.779,
2014-04,42.489,
2014-07,42.060,
