"",BBK01.OEBB20J,BBK01.OEBB20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:05,
2002-01,1.525,
2002-04,1.530,
2002-07,1.540,
2002-10,1.546,
2003-01,1.561,
2003-04,1.571,
2003-07,1.589,
2003-10,1.595,
2004-01,1.606,
2004-04,1.617,
2004-07,1.638,
2004-10,1.592,
2005-01,1.726,
2005-04,1.745,
2005-07,1.815,
2005-10,1.824,
2006-01,1.827,
2006-04,1.826,
2006-07,1.876,
2006-10,1.905,
2007-01,1.890,
2007-04,1.908,
2007-07,1.907,
2007-10,1.895,
2008-01,1.882,
2008-04,1.926,
2008-07,1.926,
2008-10,1.930,
2009-01,1.951,
2009-04,1.954,
2009-07,1.939,
2009-10,1.924,
2010-01,1.923,
2010-04,1.916,
2010-07,1.925,
2010-10,1.913,
2011-01,1.915,
2011-04,1.896,
2011-07,1.899,
2011-10,1.927,
2012-01,1.929,
2012-04,1.949,
2012-07,1.937,
2012-10,1.933,
2013-01,1.944,
2013-04,1.957,
2013-07,1.972,
2013-10,1.983,
2014-01,1.999,
2014-04,2.011,
2014-07,2.043,
