"",BBDA1.M.DE.N.EX.S.A.JP.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.JP.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Japan / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:50,
1990-07,744899,
1990-08,679705,
1990-09,588242,
1990-10,939064,
1990-11,763363,
1990-12,676371,
1991-01,720611,
1991-02,701153,
1991-03,719362,
1991-04,614563,
1991-05,711393,
1991-06,561165,
1991-07,748551,
1991-08,624571,
1991-09,770895,
1991-10,784681,
1991-11,726722,
1991-12,749822,
1992-01,624402,
1992-02,630856,
1992-03,754274,
1992-04,727291,
1992-05,535302,
1992-06,538855,
1992-07,657519,
1992-08,543912,
1992-09,581922,
1992-10,772853,
1992-11,541454,
1992-12,607701,
1993-01,564941,
1993-02,577007,
1993-03,614947,
1993-04,542106,
1993-05,496573,
1993-06,666468,
1993-07,625781,
1993-08,655219,
1993-09,637888,
1993-10,967639,
1993-11,875781,
1993-12,840058,
1994-01,664516,
1994-02,552137,
1994-03,677244,
1994-04,728386,
1994-05,675971,
1994-06,981184,
1994-07,695144,
1994-08,787709,
1994-09,792726,
1994-10,895836,
1994-11,863149,
1994-12,847176,
1995-01,725058,
1995-02,803771,
1995-03,802971,
1995-04,695497,
1995-05,735893,
1995-06,803247,
1995-07,806103,
1995-08,739674,
1995-09,775976,
1995-10,964874,
1995-11,867027,
1995-12,913794,
1996-01,827457,
1996-02,929558,
1996-03,960099,
1996-04,940156,
1996-05,854909,
1996-06,761816,
1996-07,909256,
1996-08,823801,
1996-09,964386,
1996-10,1025378,
1996-11,1024758,
1996-12,813410,
1997-01,997602,
1997-02,880182,
1997-03,901621,
1997-04,933689,
1997-05,726637,
1997-06,864512,
1997-07,973366,
1997-08,742954,
1997-09,894774,
1997-10,936682,
1997-11,820811,
1997-12,796246,
1998-01,810277,
1998-02,805122,
1998-03,903647,
1998-04,775925,
1998-05,689584,
1998-06,697249,
1998-07,881609,
1998-08,685970,
1998-09,729388,
1998-10,814638,
1998-11,818063,
1998-12,750475,
1999-01,791443,
1999-02,735597,
1999-03,939861,
1999-04,777272,
1999-05,806986,
1999-06,830587,
1999-07,948727,
1999-08,674796,
1999-09,960419,
1999-10,917198,
1999-11,1018006,
1999-12,966131,
2000-01,886734,
2000-02,1038975,
2000-03,1110427,
2000-04,905387,
2000-05,1094583,
2000-06,1125903,
2000-07,1139497,
2000-08,1086539,
2000-09,1216724,
2000-10,1318430,
2000-11,1244081,
2000-12,1027899,
2001-01,1102105,
2001-02,1093609,
2001-03,1201205,
2001-04,983380,
2001-05,1111354,
2001-06,1069526,
2001-07,1174941,
2001-08,1094658,
2001-09,983051,
2001-10,1272743,
2001-11,1017341,
2001-12,999176,
2002-01,953714,
2002-02,977409,
2002-03,1002200,
2002-04,1053336,
2002-05,987715,
2002-06,1108031,
2002-07,1143859,
2002-08,969655,
2002-09,1119792,
2002-10,1239116,
2002-11,1075163,
2002-12,946283,
2003-01,996919,
2003-02,918438,
2003-03,960588,
2003-04,949665,
2003-05,896200,
2003-06,879421,
2003-07,1097255,
2003-08,907077,
2003-09,1055626,
2003-10,1146962,
2003-11,1036971,
2003-12,1043609,
2004-01,1064701,
2004-02,1067581,
2004-03,1211683,
2004-04,955313,
2004-05,909091,
2004-06,1022546,
2004-07,1164664,
2004-08,1067177,
2004-09,1078884,
2004-10,1052666,
2004-11,1066381,
2004-12,1057885,
2005-01,1145740,
2005-02,1104835,
2005-03,1228125,
2005-04,1146271,
2005-05,940378,
2005-06,1061984,
2005-07,1106379,
2005-08,1173631,
2005-09,1091980,
2005-10,1180853,
2005-11,1070830,
2005-12,1087351,
2006-01,1155865,
2006-02,1239120,
2006-03,1176255,
2006-04,1030824,
2006-05,1018635,
2006-06,1019748,
2006-07,1177885,
2006-08,1080872,
2006-09,1304085,
2006-10,1411564,
2006-11,1188873,
2006-12,1082608,
2007-01,1127451,
2007-02,1049996,
2007-03,1153791,
2007-04,1085324,
2007-05,984242,
2007-06,1093762,
2007-07,1095830,
2007-08,1107937,
2007-09,1067233,
2007-10,1286580,
2007-11,1061898,
2007-12,907534,
2008-01,1208376,
2008-02,1126831,
2008-03,1027333,
2008-04,1094616,
2008-05,965791,
2008-06,1056257,
2008-07,1102995,
2008-08,972543,
2008-09,1125948,
2008-10,1086602,
2008-11,991375,
2008-12,973052,
2009-01,810091,
2009-02,919311,
2009-03,920876,
2009-04,790801,
2009-05,783484,
2009-06,908629,
2009-07,1063490,
2009-08,814319,
2009-09,985403,
2009-10,935499,
2009-11,989741,
2009-12,953495,
2010-01,1005015,
2010-02,975986,
2010-03,1168239,
2010-04,992721,
2010-05,1033926,
2010-06,1113996,
2010-07,1208811,
2010-08,1008693,
2010-09,1198394,
2010-10,1209992,
2010-11,1135005,
2010-12,1098661,
2011-01,1172116,
2011-02,1207807,
