"",BBK01.OEYI02T,BBK01.OEYI02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:45,
2002-01,0.104,
2002-04,0.141,
2002-07,0.125,
2002-10,0.127,
2003-01,0.193,
2003-04,0.145,
2003-07,0.139,
2003-10,0.124,
2004-01,0.147,
2004-04,0.123,
2004-07,0.110,
2004-10,0.214,
2005-01,0.193,
2005-04,0.180,
2005-07,0.212,
2005-10,0.250,
2006-01,0.273,
2006-04,0.402,
2006-07,0.187,
2006-10,0.313,
2007-01,0.276,
2007-04,0.235,
2007-07,0.262,
2007-10,0.307,
2008-01,0.262,
2008-04,0.300,
2008-07,0.262,
2008-10,0.343,
2009-01,0.318,
2009-04,0.330,
2009-07,0.350,
2009-10,0.370,
2010-01,0.347,
2010-04,0.448,
2010-07,0.406,
2010-10,0.412,
2011-01,0.325,
2011-04,0.369,
2011-07,0.630,
2011-10,0.448,
2012-01,0.386,
2012-04,0.383,
2012-07,0.334,
2012-10,0.450,
2013-01,0.492,
2013-04,0.495,
2013-07,0.393,
2013-10,0.479,
2014-01,0.454,
2014-04,0.427,
2014-07,0.493,
