"",BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:51,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-113.588,
1993-04,23.986,
1993-07,-80.701,
1993-10,69.321,
1994-01,-13.389,
1994-04,-11.911,
1994-07,1.895,
1994-10,156.713,
1995-01,-25.147,
1995-04,46.096,
1995-07,-1.036,
1995-10,-28.458,
1996-01,158.754,
1996-04,-65.205,
1996-07,132.725,
1996-10,70.666,
1997-01,101.402,
1997-04,226.798,
1997-07,-391.612,
1997-10,303.947,
1998-01,-172.126,
1998-04,283.764,
1998-07,204.644,
1998-10,134.053,
1999-01,318.759,
1999-04,147.211,
1999-07,324.000,
1999-10,38.451,
2000-01,-443.545,
2000-04,334.852,
2000-07,453.151,
2000-10,-323.936,
2001-01,-458.413,
2001-04,653.920,
2001-07,-47.880,
2001-10,-156.274,
2002-01,443.672,
2002-04,-61.699,
2002-07,14.822,
2002-10,-35.742,
2003-01,-1020.967,
2003-04,223.928,
2003-07,-153.346,
2003-10,885.268,
2004-01,-568.053,
2004-04,124.347,
2004-07,374.779,
2004-10,537.734,
2005-01,-611.452,
2005-04,-26.317,
2005-07,449.889,
2005-10,1170.176,
2006-01,-1228.057,
2006-04,71.940,
2006-07,186.933,
2006-10,87.171,
2007-01,-63.352,
2007-04,468.563,
2007-07,-268.668,
2007-10,177.469,
2008-01,-143.257,
2008-04,447.556,
2008-07,400.522,
2008-10,-286.360,
2009-01,380.385,
2009-04,37.992,
2009-07,-74.684,
2009-10,-1371.139,
2010-01,465.000,
2010-04,1231.850,
2010-07,-1040.352,
2010-10,26.348,
2011-01,-855.154,
2011-04,310.743,
2011-07,-447.066,
2011-10,2998.937,
2012-01,-1556.734,
2012-04,-515.281,
2012-07,2608.180,
2012-10,-740.944,
2013-01,336.573,
2013-04,-36.099,
2013-07,-955.956,
2013-10,-806.533,
2014-01,35.440,Provisional value
2014-04,576.310,Provisional value
2014-07,-766.365,Provisional value
2014-10,-303.385,Provisional value
