"",BBK01.OEBJ04O,BBK01.OEBJ04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:26,
2002-01,0.387,
2002-04,0.410,
2002-07,0.404,
2002-10,0.603,
2003-01,0.095,
2003-04,-0.643,
2003-07,0.419,
2003-10,0.534,
2004-01,0.560,
2004-04,0.140,
2004-07,0.566,
2004-10,0.857,
2005-01,0.690,
2005-04,0.649,
2005-07,0.696,
2005-10,0.641,
2006-01,0.546,
2006-04,0.551,
2006-07,0.666,
2006-10,0.748,
2007-01,0.601,
2007-04,0.576,
2007-07,0.736,
2007-10,0.900,
2008-01,0.845,
2008-04,0.801,
2008-07,1.038,
2008-10,1.054,
2009-01,0.996,
2009-04,1.025,
2009-07,1.191,
2009-10,1.226,
2010-01,1.325,
2010-04,1.203,
2010-07,0.980,
2010-10,1.030,
2011-01,1.158,
2011-04,1.298,
2011-07,1.136,
2011-10,1.049,
2012-01,1.011,
2012-04,0.963,
2012-07,1.133,
2012-10,1.128,
2013-01,0.844,
2013-04,0.930,
2013-07,0.916,
2013-10,1.115,
2014-01,0.936,
2014-04,0.784,
2014-07,0.776,
