"",BBFB1.Q.N.DE.FI.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:06,
1991-01,39.298,
1991-04,33.018,
1991-07,31.900,
1991-10,31.522,
1992-01,13.347,
1992-04,14.349,
1992-07,21.080,
1992-10,16.318,
1993-01,-15.226,
1993-04,-19.865,
1993-07,-26.996,
1993-10,-67.543,
1994-01,36.483,
1994-04,44.169,
1994-07,40.320,
1994-10,49.941,
1995-01,80.401,
1995-04,70.960,
1995-07,79.230,
1995-10,70.470,
1996-01,47.651,
1996-04,-91.514,
1996-07,46.891,
1996-10,66.823,
1997-01,81.819,
1997-04,74.818,
1997-07,72.148,
1997-10,68.807,
1998-01,26.564,
1998-04,32.348,
1998-07,31.620,
1998-10,43.283,
1999-01,84.692,
1999-04,86.214,
1999-07,84.549,
1999-10,79.687,
2000-01,102.035,
2000-04,125.209,
2000-07,103.040,
2000-10,110.725,
2001-01,187.102,
2001-04,218.536,
2001-07,235.934,
2001-10,196.117,
2002-01,361.580,
2002-04,400.292,
2002-07,417.679,
2002-10,462.195,
2003-01,174.712,
2003-04,191.569,
2003-07,196.291,
2003-10,218.039,
2004-01,120.400,
2004-04,117.154,
2004-07,113.522,
2004-10,117.577,
2005-01,57.360,
2005-04,57.583,
2005-07,51.621,
2005-10,58.498,
2006-01,-96.974,
2006-04,-91.148,
2006-07,-117.388,
2006-10,-147.535,
2007-01,90.364,
2007-04,85.517,
2007-07,75.222,
2007-10,69.826,
2008-01,850.355,
2008-04,-337.094,
2008-07,-685.371,
2008-10,-148.148,
2009-01,51.170,
2009-04,19.487,
2009-07,-100.256,
2009-10,-249.454,
2010-01,68.751,
2010-04,87.191,
2010-07,81.827,
2010-10,86.212,
2011-01,-133.686,
2011-04,-116.696,
2011-07,-143.180,
2011-10,-164.824,
2012-01,-191.416,
2012-04,-194.580,
2012-07,-206.471,
2012-10,-197.984,
2013-01,29.237,
2013-04,42.340,
2013-07,29.740,
2013-10,26.674,
2014-01,27.953,Provisional value
2014-04,43.666,Provisional value
2014-07,28.729,Provisional value
