"",BBK01.OEXJ02T,BBK01.OEXJ02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:33,
2002-01,0.123,
2002-04,0.178,
2002-07,0.189,
2002-10,0.218,
2003-01,0.235,
2003-04,0.263,
2003-07,0.260,
2003-10,0.284,
2004-01,0.288,
2004-04,0.351,
2004-07,0.357,
2004-10,0.341,
2005-01,0.337,
2005-04,0.362,
2005-07,0.357,
2005-10,0.365,
2006-01,0.347,
2006-04,0.363,
2006-07,0.360,
2006-10,0.366,
2007-01,0.341,
2007-04,0.307,
2007-07,0.289,
2007-10,0.342,
2008-01,0.268,
2008-04,0.246,
2008-07,0.272,
2008-10,0.358,
2009-01,0.749,
2009-04,0.907,
2009-07,1.095,
2009-10,1.154,
2010-01,1.123,
2010-04,1.167,
2010-07,1.132,
2010-10,1.007,
2011-01,1.007,
2011-04,1.041,
2011-07,1.031,
2011-10,0.714,
2012-01,0.672,
2012-04,0.666,
2012-07,0.734,
2012-10,0.555,
2013-01,0.594,
2013-04,0.580,
2013-07,0.635,
2013-10,0.659,
2014-01,0.667,
2014-04,0.597,
2014-07,0.613,
