"",BBK01.OEAN06T,BBK01.OEAN06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:18,
2002-01,2.418,
2002-04,2.375,
2002-07,2.382,
2002-10,2.383,
2003-01,2.245,
2003-04,2.085,
2003-07,1.969,
2003-10,2.100,
2004-01,2.033,
2004-04,1.992,
2004-07,1.995,
2004-10,2.040,
2005-01,2.044,
2005-04,1.980,
2005-07,1.874,
2005-10,1.907,
2006-01,1.919,
2006-04,1.917,
2006-07,1.927,
2006-10,2.069,
2007-01,2.173,
2007-04,2.195,
2007-07,2.258,
2007-10,2.414,
2008-01,2.453,
2008-04,2.382,
2008-07,2.384,
2008-10,2.752,
2009-01,2.556,
2009-04,2.451,
2009-07,2.271,
2009-10,2.222,
2010-01,2.042,
2010-04,1.893,
2010-07,1.786,
2010-10,1.793,
2011-01,1.815,
2011-04,1.782,
2011-07,1.826,
2011-10,1.851,
2012-01,1.814,
2012-04,1.761,
2012-07,1.694,
2012-10,1.649,
2013-01,1.554,
2013-04,1.465,
2013-07,1.416,
2013-10,1.367,
2014-01,1.342,
2014-04,1.311,
2014-07,1.319,
