"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4P.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4P.D.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:44,
1991-01,-99.271,
1991-02,110.434,
1991-03,-27.724,
1991-04,86.489,
1991-05,54.075,
1991-06,-1213.586,
1991-07,-176.364,
1991-08,6.373,
1991-09,-45.107,
1991-10,39.400,
1991-11,-135.986,
1991-12,110.860,
1992-01,0.355,
1992-02,113.068,
1992-03,63.856,
1992-04,384.349,
1992-05,207.927,
1992-06,-364.884,
1992-07,91.941,
1992-08,282.029,
1992-09,-215.777,
1992-10,259.679,
1992-11,-86.013,
1992-12,735.152,
1993-01,86.547,
1993-02,29.978,
1993-03,384.508,
1993-04,473.066,
1993-05,134.051,
1993-06,193.318,
1993-07,435.049,
1993-08,282.720,
1993-09,175.568,
1993-10,284.872,
1993-11,224.985,
1993-12,1086.566,
1994-01,-129.365,
1994-02,-148.837,
1994-03,353.834,
1994-04,440.373,
1994-05,-283.926,
1994-06,274.493,
1994-07,-127.337,
1994-08,-186.599,
1994-09,-130.218,
1994-10,75.754,
1994-11,-426.521,
1994-12,286.884,
1995-01,5.186,
1995-02,-24.086,
1995-03,147.716,
1995-04,513.794,
1995-05,155.724,
1995-06,314.963,
1995-07,148.732,
1995-08,-167.025,
1995-09,348.972,
1995-10,-66.728,
1995-11,-52.492,
1995-12,863.200,
1996-01,824.318,
1996-02,617.293,
1996-03,1591.142,
1996-04,1069.249,
1996-05,546.825,
1996-06,554.873,
1996-07,-578.964,
1996-08,307.802,
1996-09,-42.296,
1996-10,501.033,
1996-11,583.661,
1996-12,1493.450,
1997-01,364.871,
1997-02,427.893,
1997-03,808.854,
1997-04,764.114,
1997-05,-118.709,
1997-06,194.774,
1997-07,143.667,
1997-08,495.893,
1997-09,476.388,
1997-10,-117.580,
1997-11,127.753,
1997-12,1550.531,
1998-01,496.979,
1998-02,7.424,
1998-03,532.379,
1998-04,196.002,
1998-05,189.918,
1998-06,550.581,
1998-07,-685.895,
1998-08,133.673,
1998-09,283.891,
1998-10,-611.760,
1998-11,464.745,
1998-12,767.914,
1999-01,405.414,
1999-02,-364.225,
1999-03,919.641,
1999-04,2046.127,
1999-05,538.980,
1999-06,247.217,
1999-07,430.789,
1999-08,109.582,
1999-09,24.462,
1999-10,80.525,
1999-11,344.976,
1999-12,201.005,
2000-01,674.959,
2000-02,-224.222,
2000-03,2037.854,
2000-04,534.112,
2000-05,649.982,
2000-06,-198.458,
2000-07,-457.586,
2000-08,-983.909,
2000-09,-513.190,
2000-10,63.583,
2000-11,-1038.720,
2000-12,3490.741,
2001-01,-130.194,
2001-02,-114.410,
2001-03,-62.187,
2001-04,75.804,
2001-05,-73.770,
2001-06,-62.397,
2001-07,69.693,
2001-08,-22.033,
2001-09,-59.052,
2001-10,-105.214,
2001-11,-97.211,
2001-12,-169.873,
2002-01,-948.513,
2002-02,-897.183,
2002-03,-902.734,
2002-04,-830.361,
2002-05,-921.908,
2002-06,-937.381,
2002-07,-913.979,
2002-08,-945.577,
2002-09,-874.636,
2002-10,-961.074,
2002-11,-1010.682,
2002-12,-962.175,
2003-01,-616.629,
2003-02,-641.565,
2003-03,-517.833,
2003-04,-975.530,
2003-05,-646.814,
2003-06,-63.311,
2003-07,-400.319,
2003-08,-495.840,
2003-09,-521.847,
2003-10,-478.641,
2003-11,-600.391,
2003-12,-149.076,
2004-01,1622.080,
2004-02,1603.500,
2004-03,1609.835,
2004-04,1675.035,
2004-05,1429.810,
2004-06,1584.791,
2004-07,1955.079,
2004-08,1596.315,
2004-09,1841.617,
2004-10,1861.283,
2004-11,1839.312,
2004-12,2203.021,
2005-01,1711.100,
2005-02,1420.817,
2005-03,1528.398,
2005-04,1772.078,
2005-05,1385.317,
2005-06,1623.785,
2005-07,1661.167,
2005-08,1481.387,
2005-09,1813.610,
2005-10,1673.948,
2005-11,1760.892,
2005-12,1954.756,
2006-01,2782.190,
2006-02,2566.387,
2006-03,2662.609,
2006-04,2662.235,
2006-05,2538.012,
2006-06,2803.121,
2006-07,2619.184,
2006-08,2442.996,
2006-09,2542.487,
2006-10,2533.302,
2006-11,2153.343,
2006-12,2729.500,
2007-01,2172.990,
2007-02,2025.050,
2007-03,2322.499,
2007-04,2338.457,
2007-05,1992.464,
2007-06,2133.946,
2007-07,1980.646,
2007-08,1755.162,
2007-09,1736.438,
2007-10,1798.699,
2007-11,1349.972,
2007-12,1639.569,
2008-01,1237.494,
2008-02,807.858,
2008-03,795.446,
2008-04,870.670,
2008-05,510.978,
2008-06,853.527,
2008-07,852.934,
2008-08,803.510,
2008-09,949.788,
2008-10,1063.384,
2008-11,914.378,
2008-12,956.101,
2009-01,3108.223,
2009-02,2840.451,
2009-03,3008.230,
2009-04,3081.396,
