"",BBSF2.M.1.S.I1250.GEF01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEF01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Insurance corporations / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:38,
2004-01,650,
2004-02,655,
2004-03,654,
2004-04,655,
2004-05,652,
2004-06,668,
2004-07,657,
2004-08,663,
2004-09,669,
2004-10,668,
2004-11,763,
2004-12,775,
2005-01,1644,
2005-02,1691,
2005-03,3596,
2005-04,3737,
2005-05,4027,
2005-06,4228,
2005-07,4803,
2005-08,5013,
2005-09,5854,
2005-10,5875,
2005-11,7331,
2005-12,8987,
2006-01,9818,
2006-02,10457,
2006-03,10525,
2006-04,11162,
2006-05,11186,
2006-06,11645,
2006-07,12024,
2006-08,14436,
2006-09,14792,
2006-10,14999,
2006-11,15608,
2006-12,15945,
2007-01,16060,
2007-02,15187,
2007-03,15211,
2007-04,15413,
2007-05,15515,
2007-06,16622,
2007-07,16577,
2007-08,16631,
2007-09,16757,
2007-10,17444,
2007-11,17153,
2007-12,17276,
2008-01,16992,
2008-02,17303,
2008-03,17161,
2008-04,17357,
2008-05,17872,
2008-06,17312,
2008-07,17448,
2008-08,17851,
2008-09,17301,
2008-10,16664,
2008-11,17036,
2008-12,16297,
2009-01,16330,
2009-02,15996,
2009-03,16574,
2009-04,20284,
2009-05,24563,
2009-06,25402,
2009-07,26024,
2009-08,26203,
2009-09,34596,
2009-10,34048,
2009-11,34393,
2009-12,33792,
2010-01,34555,
2010-02,34711,
2010-03,35950,
2010-04,35719,
2010-05,35442,
2010-06,34542,
2010-07,35277,
2010-08,36403,
2010-09,37061,
2010-10,37023,
2010-11,36968,
2010-12,36332,
2011-01,35479,
2011-02,35571,
2011-03,35449,
2011-04,35947,
2011-05,35991,
2011-06,35910,
2011-07,37330,
2011-08,36876,
2011-09,36551,
2011-10,38303,
2011-11,37407,
2011-12,37717,
2012-01,38454,
2012-02,39581,
2012-03,39869,
2012-04,39651,
2012-05,39353,
2012-06,39717,
2012-07,40923,
2012-08,41207,
2012-09,40555,
2012-10,40829,
2012-11,40566,
2012-12,40372,
2013-01,40800,
2013-02,41387,
2013-03,41543,
2013-04,42620,
2013-05,43030,
2013-06,42393,
2013-07,42979,
2013-08,42735,
2013-09,43677,
2013-10,44361,
2013-11,44131,
2013-12,43975,
2014-01,44296,
2014-02,45251,
2014-03,45061,
2014-04,45756,
2014-05,46675,
2014-06,46880,
2014-07,45685,
2014-08,43617,
2014-09,43391,
2014-10,43392,
2014-11,44058,
