"",BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:57,
1991-01,-4.487,
1991-04,-4.487,
1991-07,-4.487,
1991-10,-4.487,
1992-01,-4.268,
1992-04,-0.178,
1992-07,-0.178,
1992-10,-0.178,
1993-01,-23.628,
1993-04,-23.628,
1993-07,-23.628,
1993-10,-23.628,
1994-01,-1.666,
1994-04,-1.666,
1994-07,-1.666,
1994-10,-1.666,
1995-01,-0.099,
1995-04,-6.344,
1995-07,0.333,
1995-10,0.333,
1996-01,-0.210,
1996-04,-0.210,
1996-07,-0.210,
1996-10,-0.210,
1997-01,-1.289,
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-0.026,
1998-10,-,Nothing exists
1999-01,-,Nothing exists
1999-04,-1.000,
1999-07,-,Nothing exists
1999-10,-,Nothing exists
2000-01,-0.024,
2000-04,2.949,
2000-07,3.000,
2000-10,-,Nothing exists
2001-01,-1.847,
2001-04,-1.712,
2001-07,0.660,
2001-10,0.525,
2002-01,-2.909,
2002-04,-3.493,
2002-07,-3.779,
2002-10,-4.358,
2003-01,0.869,
2003-04,1.041,
2003-07,1.130,
2003-10,1.303,
2004-01,-1.000,
2004-04,0.000,
2004-07,-1.000,
2004-10,-1.000,
2005-01,-0.551,
2005-04,-0.761,
2005-07,0.254,
2005-10,-0.735,
2006-01,-3.581,
2006-04,0.452,
2006-07,0.516,
2006-10,0.613,
2007-01,-10.872,
2007-04,-9.927,
2007-07,-8.035,
2007-10,-5.199,
2008-01,31.521,
2008-04,-20.552,
2008-07,-30.945,
2008-10,-8.686,
2009-01,-0.013,
2009-04,-0.108,
2009-07,-0.298,
2009-10,-6.582,
2010-01,-1.186,
2010-04,-2.500,
2010-07,-1.657,
2010-10,8.344,
2011-01,0.740,
2011-04,-52.276,
2011-07,-0.258,
2011-10,0.795,
2012-01,0.510,
2012-04,-1.072,
2012-07,0.937,
2012-10,-0.093,
2013-01,-2.460,
2013-04,-2.319,
2013-07,-2.240,
2013-10,-2.223,
2014-01,-2.524,Provisional value
2014-04,-2.305,Provisional value
2014-07,-2.354,Provisional value
2014-10,-2.357,Provisional value
