"",BBK01.OEAE20T,BBK01.OEAE20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:09,
2002-01,0.042,
2002-04,0.041,
2002-07,0.044,
2002-10,0.048,
2003-01,0.051,
2003-04,0.053,
2003-07,0.052,
2003-10,0.062,
2004-01,0.083,
2004-04,0.082,
2004-07,0.083,
2004-10,0.085,
2005-01,0.082,
2005-04,0.083,
2005-07,0.086,
2005-10,0.087,
2006-01,0.076,
2006-04,0.072,
2006-07,0.072,
2006-10,0.071,
2007-01,0.069,
2007-04,0.066,
2007-07,0.059,
2007-10,0.042,
2008-01,0.035,
2008-04,0.039,
2008-07,0.043,
2008-10,0.045,
2009-01,0.058,
2009-04,0.058,
2009-07,0.057,
2009-10,0.055,
2010-01,0.047,
2010-04,0.047,
2010-07,0.089,
2010-10,0.067,
2011-01,0.086,
2011-04,0.102,
2011-07,0.111,
2011-10,0.123,
2012-01,0.141,
2012-04,0.149,
2012-07,0.138,
2012-10,0.106,
2013-01,0.121,
2013-04,0.180,
2013-07,0.146,
2013-10,0.132,
2014-01,0.110,
2014-04,0.152,
2014-07,0.160,
