"",BBK01.OEAA32O,BBK01.OEAA32O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:37,
2002-01,-0.235,
2002-04,-0.229,
2002-07,-0.223,
2002-10,-0.216,
2003-01,-0.208,
2003-04,-0.206,
2003-07,-0.200,
2003-10,-0.185,
2004-01,-0.184,
2004-04,-0.180,
2004-07,-0.179,
2004-10,-0.392,
2005-01,0.076,
2005-04,0.074,
2005-07,0.072,
2005-10,0.072,
2006-01,0.068,
2006-04,0.068,
2006-07,0.065,
2006-10,0.064,
2007-01,0.062,
2007-04,0.060,
2007-07,0.059,
2007-10,0.056,
2008-01,0.055,
2008-04,0.053,
2008-07,0.054,
2008-10,0.057,
2009-01,0.068,
2009-04,0.067,
2009-07,0.051,
2009-10,0.048,
2010-01,0.047,
2010-04,0.045,
2010-07,0.044,
2010-10,0.052,
2011-01,0.089,
2011-04,0.090,
2011-07,0.087,
2011-10,0.085,
2012-01,0.082,
2012-04,0.082,
2012-07,0.079,
2012-10,0.077,
2013-01,0.074,
2013-04,0.074,
2013-07,0.071,
2013-10,0.068,
2014-01,0.066,
2014-04,0.065,
2014-07,0.062,
