"",BBK01.CELN03,BBK01.CELN03_FLAGS
"",Transferable deposits                                                     debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:07,
1999-01,63.9,
1999-04,-10.2,
1999-07,-14.4,
1999-10,-26.8,
2000-01,29.9,
2000-04,0.6,
2000-07,-27.2,
2000-10,14.7,
2001-01,36.4,
2001-04,16.3,
2001-07,17.9,
2001-10,-27.4,
2002-01,-22.7,
2002-04,34.6,
2002-07,4.4,
2002-10,3.4,
2003-01,38.7,
2003-04,17.9,
2003-07,-28.0,
2003-10,-25.1,
2004-01,25.1,
2004-04,-7.4,
2004-07,16.3,
2004-10,-56.1,
2005-01,67.8,
2005-04,25.5,
2005-07,-35.0,
2005-10,-45.7,
2006-01,38.9,
2006-04,0.0,
2006-07,1.6,
2006-10,19.6,
2007-01,32.5,
2007-04,16.3,
2007-07,8.8,
2007-10,1.2,
2008-01,30.6,
2008-04,-29.3,
2008-07,83.2,
2008-10,67.1,
2009-01,-96.2,
2009-04,54.2,
2009-07,-56.4,
2009-10,-14.3,
2010-01,63.7,
2010-04,99.9,
2010-07,-77.8,
2010-10,9.0,
2011-01,-21.3,
2011-04,-2.5,
2011-07,136.3,
2011-10,-52.5,
2012-01,257.8,
2012-04,42.7,
2012-07,-40.1,
2012-10,-121.1,
2013-01,-60.4,
2013-04,-19.9,
2013-07,-30.6,
2013-10,-59.8,
2014-01,-4.1,
2014-04,1.4,
2014-07,16.3,
