"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.SE.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.SE.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Sweden,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:01,
2009-09,1423,
2009-10,1487,
2009-11,1473,
2009-12,1493,
2010-01,1530,
2010-02,1623,
2010-03,1755,
2010-04,1817,
2010-05,1726,
2010-06,1805,
2010-07,1905,
2010-08,1852,
2010-09,2153,
2010-10,2179,
2010-11,2258,
2010-12,2439,
2011-01,2434,
2011-02,2384,
2011-03,2388,
2011-04,2419,
2011-05,2394,
2011-06,2196,
2011-07,2116,
2011-08,1853,
2011-09,1777,
2011-10,2046,
2011-11,1985,
2011-12,2116,
2012-01,2213,
2012-02,2374,
2012-03,2365,
2012-04,2311,
2012-05,2159,
2012-06,2311,
2012-07,2639,
2012-08,2562,
2012-09,2635,
2012-10,2581,
2012-11,2723,
2012-12,2914,
2013-01,3056,
2013-02,3199,
2013-03,3179,
2013-04,3113,
2013-05,3198,
2013-06,3039,
2013-07,3239,
2013-08,3144,
2013-09,3303,
2013-10,3350,
2013-11,3382,
2013-12,3462,
2014-01,3448,
2014-02,3663,
2014-03,3654,
2014-04,3666,
2014-05,3754,
2014-06,3672,
2014-07,3679,
2014-08,3747,
2014-09,3805,
2014-10,3833,
2014-11,3922,
