"",BBK01.OEYB01G,BBK01.OEYB01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:21,
2002-01,178.786,
2002-04,178.310,
2002-07,181.006,
2002-10,179.334,
2003-01,179.286,
2003-04,183.542,
2003-07,179.935,
2003-10,181.520,
2004-01,181.919,
2004-04,179.749,
2004-07,177.373,
2004-10,177.795,
2005-01,176.895,
2005-04,176.870,
2005-07,191.244,
2005-10,188.724,
2006-01,190.305,
2006-04,189.474,
2006-07,193.455,
2006-10,191.608,
2007-01,192.627,
2007-04,195.096,
2007-07,199.875,
2007-10,205.875,
2008-01,182.405,
2008-04,194.810,
2008-07,204.377,
2008-10,210.413,
2009-01,215.142,
2009-04,214.599,
2009-07,218.324,
2009-10,210.730,
2010-01,213.020,
2010-04,214.516,
2010-07,217.888,
2010-10,213.390,
2011-01,215.118,
2011-04,209.965,
2011-07,207.067,
2011-10,204.095,
2012-01,207.904,
2012-04,208.802,
2012-07,209.812,
2012-10,202.023,
2013-01,202.411,
2013-04,195.417,
2013-07,182.858,
2013-10,181.622,
2014-01,183.241,
2014-04,183.895,
2014-07,185.843,
