"",BBK01.OEAJ04G,BBK01.OEAJ04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:17,
2002-01,10.664,
2002-04,10.724,
2002-07,11.224,
2002-10,11.496,
2003-01,11.526,
2003-04,10.645,
2003-07,9.727,
2003-10,10.418,
2004-01,10.421,
2004-04,9.376,
2004-07,9.164,
2004-10,11.437,
2005-01,9.564,
2005-04,10.104,
2005-07,10.667,
2005-10,11.974,
2006-01,11.609,
2006-04,11.157,
2006-07,13.414,
2006-10,14.933,
2007-01,14.593,
2007-04,15.894,
2007-07,17.232,
2007-10,20.839,
2008-01,21.699,
2008-04,23.617,
2008-07,35.105,
2008-10,33.015,
2009-01,32.742,
2009-04,29.345,
2009-07,27.403,
2009-10,32.005,
2010-01,24.791,
2010-04,25.214,
2010-07,27.666,
2010-10,26.134,
2011-01,32.683,
2011-04,29.198,
2011-07,30.059,
2011-10,27.024,
2012-01,26.287,
2012-04,27.969,
2012-07,24.925,
2012-10,22.569,
2013-01,20.503,
2013-04,17.474,
2013-07,12.196,
2013-10,12.402,
2014-01,12.680,
2014-04,13.659,
2014-07,11.979,
