"",BBK01.OELB13K,BBK01.OELB13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:50,
2002-01,0.685,
2002-04,0.687,
2002-07,0.680,
2002-10,0.712,
2003-01,0.687,
2003-04,0.685,
2003-07,0.674,
2003-10,0.689,
2004-01,0.684,
2004-04,0.695,
2004-07,0.698,
2004-10,0.747,
2005-01,0.716,
2005-04,0.720,
2005-07,0.719,
2005-10,0.755,
2006-01,0.794,
2006-04,0.820,
2006-07,0.823,
2006-10,0.859,
2007-01,0.884,
2007-04,0.915,
2007-07,0.908,
2007-10,0.943,
2008-01,0.958,
2008-04,0.965,
2008-07,0.979,
2008-10,1.009,
2009-01,1.020,
2009-04,1.032,
2009-07,1.044,
2009-10,1.073,
2010-01,1.064,
2010-04,1.083,
2010-07,1.106,
2010-10,1.120,
2011-01,1.125,
2011-04,1.148,
2011-07,1.172,
2011-10,1.205,
2012-01,1.213,
2012-04,2.040,
2012-07,2.069,
2012-10,2.103,
2013-01,2.146,
2013-04,2.145,
2013-07,2.200,
2013-10,2.208,
2014-01,2.208,
2014-04,2.206,
2014-07,2.235,
