"",BBK01.OEAD01I,BBK01.OEAD01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:59,
2002-01,3.280,
2002-04,3.077,
2002-07,3.036,
2002-10,2.702,
2003-01,2.507,
2003-04,2.723,
2003-07,2.743,
2003-10,2.630,
2004-01,2.494,
2004-04,2.518,
2004-07,2.351,
2004-10,2.325,
2005-01,2.312,
2005-04,2.415,
2005-07,2.346,
2005-10,2.272,
2006-01,2.175,
2006-04,2.238,
2006-07,2.408,
2006-10,2.356,
2007-01,2.336,
2007-04,2.385,
2007-07,2.401,
2007-10,2.369,
2008-01,2.482,
2008-04,2.788,
2008-07,2.786,
2008-10,2.586,
2009-01,2.429,
2009-04,2.487,
2009-07,2.382,
2009-10,2.166,
2010-01,1.732,
2010-04,1.692,
2010-07,1.657,
2010-10,1.527,
2011-01,2.170,
2011-04,2.028,
2011-07,1.985,
2011-10,1.907,
2012-01,2.030,
2012-04,2.022,
2012-07,2.008,
2012-10,1.996,
2013-01,1.998,
2013-04,1.954,
2013-07,1.948,
2013-10,1.884,
2014-01,1.784,
2014-04,1.805,
2014-07,1.712,
