"",BBK01.OEAF18L,BBK01.OEAF18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:18,
2002-01,0.167,
2002-04,0.232,
2002-07,0.481,
2002-10,0.447,
2003-01,0.279,
2003-04,0.300,
2003-07,0.178,
2003-10,0.145,
2004-01,0.144,
2004-04,0.133,
2004-07,0.110,
2004-10,0.152,
2005-01,0.117,
2005-04,0.115,
2005-07,0.147,
2005-10,0.143,
2006-01,0.147,
2006-04,0.123,
2006-07,0.154,
2006-10,0.132,
2007-01,0.128,
2007-04,0.108,
2007-07,0.103,
2007-10,0.085,
2008-01,0.092,
2008-04,0.111,
2008-07,0.085,
2008-10,0.141,
2009-01,0.178,
2009-04,0.155,
2009-07,0.180,
2009-10,0.160,
2010-01,0.189,
2010-04,0.204,
2010-07,0.162,
2010-10,0.181,
2011-01,0.210,
2011-04,0.193,
2011-07,0.182,
2011-10,0.156,
2012-01,0.280,
2012-04,0.275,
2012-07,0.326,
2012-10,0.257,
2013-01,0.185,
2013-04,0.212,
2013-07,0.162,
2013-10,0.226,
2014-01,0.163,
2014-04,0.144,
2014-07,0.146,
