"",BBK01.OEBM03R,BBK01.OEBM03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:33,
2002-01,0.303,
2002-04,0.275,
2002-07,0.264,
2002-10,0.265,
2003-01,0.192,
2003-04,0.179,
2003-07,0.194,
2003-10,0.191,
2004-01,0.162,
2004-04,0.147,
2004-07,0.135,
2004-10,0.153,
2005-01,0.166,
2005-04,0.110,
2005-07,0.118,
2005-10,0.115,
2006-01,0.134,
2006-04,0.134,
2006-07,0.163,
2006-10,0.178,
2007-01,0.191,
2007-04,0.236,
2007-07,0.234,
2007-10,0.232,
2008-01,0.322,
2008-04,0.336,
2008-07,0.296,
2008-10,0.247,
2009-01,0.117,
2009-04,0.081,
2009-07,0.025,
2009-10,0.007,
2010-01,0.013,
2010-04,0.011,
2010-07,0.008,
2010-10,0.009,
2011-01,0.088,
2011-04,0.097,
2011-07,0.115,
2011-10,0.244,
2012-01,0.384,
2012-04,0.360,
2012-07,0.414,
2012-10,0.457,
2013-01,0.592,
2013-04,0.501,
2013-07,0.517,
2013-10,0.409,
2014-01,0.473,
2014-04,0.458,
2014-07,0.422,
