"",BBK01.CEH701,BBK01.CEH701_FLAGS
"",Other claims debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:12:56,
1991-01,14.8,
1991-04,-13.7,
1991-07,4.7,
1991-10,-7.4,
1992-01,15.0,
1992-04,-9.4,
1992-07,-37.9,
1992-10,28.2,
1993-01,10.6,
1993-04,-0.6,
1993-07,-3.3,
1993-10,24.3,
1994-01,5.3,
1994-04,-4.7,
1994-07,4.1,
1994-10,2.0,
1995-01,23.0,
1995-04,-3.5,
1995-07,-1.8,
1995-10,-10.4,
1996-01,16.8,
1996-04,0.6,
1996-07,5.8,
1996-10,12.0,
1997-01,13.3,
1997-04,-6.1,
1997-07,14.9,
1997-10,-2.2,
1998-01,10.4,
1998-04,5.1,
1998-07,-15.1,
1998-10,19.2,
1999-01,5.2,
1999-04,-6.7,
1999-07,4.9,
1999-10,24.5,
2000-01,13.1,
2000-04,-0.8,
2000-07,2.3,
2000-10,1.0,
2001-01,3.2,
2001-04,-21.8,
2001-07,10.6,
2001-10,8.5,
2002-01,6.5,
2002-04,1.0,
2002-07,1.8,
2002-10,12.4,
2003-01,31.3,
2003-04,20.5,
2003-07,-17.9,
2003-10,10.6,
2004-01,5.8,
2004-04,-10.6,
2004-07,1.6,
2004-10,26.6,
2005-01,-4.4,
2005-04,-2.9,
2005-07,8.5,
2005-10,-18.1,
2006-01,27.6,
2006-04,5.6,
2006-07,-0.6,
2006-10,18.0,
2007-01,41.6,
2007-04,10.5,
2007-07,44.0,
2007-10,64.1,
2008-01,21.8,
2008-04,15.6,
2008-07,9.8,
2008-10,-12.2,
2009-01,-47.4,
2009-04,16.1,
2009-07,-9.2,
2009-10,8.5,
2010-01,-10.4,
2010-04,5.2,
2010-07,32.9,
2010-10,10.6,
2011-01,67.7,
2011-04,-13.7,
2011-07,-33.4,
2011-10,4.8,
2012-01,8.2,
2012-04,-23.7,
2012-07,37.3,
2012-10,27.1,
2013-01,24.9,
2013-04,-0.4,
2013-07,48.7,
2013-10,7.6,
2014-01,2.1,
