"",BBK01.CEB40X,BBK01.CEB40X_FLAGS
"",Loans debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:20,
1991-01,8.0,
1991-04,8.2,
1991-07,8.8,
1991-10,10.1,
1992-01,9.5,
1992-04,9.9,
1992-07,10.4,
1992-10,10.1,
1993-01,11.3,
1993-04,13.8,
1993-07,14.0,
1993-10,14.1,
1994-01,16.0,
1994-04,17.6,
1994-07,17.0,
1994-10,16.9,
1995-01,16.9,
1995-04,17.1,
1995-07,18.2,
1995-10,20.1,
1996-01,22.8,
1996-04,22.9,
1996-07,23.9,
1996-10,31.4,
1997-01,39.7,
1997-04,40.6,
1997-07,37.9,
1997-10,41.1,
1998-01,54.0,
1998-04,56.4,
1998-07,49.9,
1998-10,51.5,
1999-01,66.1,
1999-04,92.8,
1999-07,75.5,
1999-10,79.9,
2000-01,102.7,
2000-04,125.4,
2000-07,101.7,
2000-10,102.6,
2001-01,139.6,
2001-04,137.1,
2001-07,122.7,
2001-10,110.9,
2002-01,106.0,
2002-04,94.0,
2002-07,95.1,
2002-10,100.8,
2003-01,109.2,
2003-04,106.1,
2003-07,101.5,
2003-10,94.5,
2004-01,103.6,
2004-04,108.0,
2004-07,106.1,
2004-10,97.0,
2005-01,105.7,
2005-04,107.4,
2005-07,119.4,
2005-10,113.7,
2006-01,129.2,
2006-04,130.4,
2006-07,130.3,
2006-10,121.5,
2007-01,129.2,
2007-04,145.4,
2007-07,136.3,
2007-10,120.1,
2008-01,131.6,
2008-04,139.7,
2008-07,138.8,
2008-10,146.8,
2009-01,137.6,
2009-04,144.8,
2009-07,136.9,
2009-10,149.2,
2010-01,153.0,
2010-04,161.5,
2010-07,161.1,
2010-10,164.7,
2011-01,173.8,
2011-04,173.6,
2011-07,191.5,
2011-10,179.0,
2012-01,193.0,
2012-04,186.4,
2012-07,185.8,
2012-10,199.1,
2013-01,203.2,
2013-04,228.3,
2013-07,201.7,
2013-10,195.7,
2014-01,207.4,
