"",BBK01.OXA8T9,BBK01.OXA8T9_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from enterprises in other euro area member states during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:51,
2009-12,-,Nothing exists
2010-01,0.084,
2010-02,-,Nothing exists
2010-03,0.020,
2010-04,-,Nothing exists
2010-05,0.289,
2010-06,0.029,
2010-07,0.010,
2010-08,0.019,
2010-09,0.037,
2010-10,1.814,
2010-11,-0.005,
2010-12,-0.065,
2011-01,-0.012,
2011-02,-0.003,
2011-03,-0.079,
2011-04,-0.073,
2011-05,-0.053,
2011-06,-0.150,
2011-07,-0.060,
2011-08,-0.095,
2011-09,-0.146,
2011-10,-0.058,
2011-11,-0.338,
2011-12,0.153,
2012-01,0.032,
2012-02,0.075,
2012-03,-0.157,
2012-04,-0.042,
2012-05,0.018,
2012-06,0.028,
2012-07,-0.009,
2012-08,0.026,
2012-09,-0.117,
2012-10,-0.041,
2012-11,0.032,
2012-12,-0.132,
2013-01,-,Nothing exists
2013-02,-0.081,
2013-03,-0.023,
2013-04,-0.211,
2013-05,-0.370,
2013-06,-0.210,
2013-07,-0.163,
2013-08,-0.029,
2013-09,-0.098,
2013-10,-0.203,
2013-11,-0.148,
2013-12,-0.196,
2014-01,-0.173,
2014-02,-0.115,
2014-03,-0.289,
2014-04,0.080,
2014-05,-0.092,
2014-06,0.061,
2014-07,-0.632,
2014-08,-0.111,
2014-09,0.043,
2014-10,0.005,
2014-11,-0.049,
2014-12,0.144,Provisional value
