"",BBFN1.M.DE.N.1.A.LY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:59,
1994-12,0.310,
1995-01,0.304,
1995-02,0.268,
1995-03,0.293,
1995-04,0.300,
1995-05,0.300,
1995-06,0.295,
1995-07,0.288,
1995-08,0.296,
1995-09,0.295,
1995-10,0.289,
1995-11,0.293,
1995-12,0.287,
1996-01,0.293,
1996-02,0.300,
1996-03,0.295,
1996-04,0.264,
1996-05,0.270,
1996-06,0.261,
1996-07,0.269,
1996-08,0.271,
1996-09,0.266,
1996-10,0.264,
1996-11,0.278,
1996-12,0.266,
1997-01,0.270,
1997-02,0.279,
1997-03,0.274,
1997-04,0.279,
1997-05,0.281,
1997-06,0.302,
1997-07,0.321,
1997-08,0.321,
1997-09,0.305,
1997-10,0.309,
1997-11,0.314,
1997-12,0.296,
1998-01,0.314,
1998-02,0.337,
1998-03,0.327,
1998-04,0.331,
1998-05,0.321,
1998-06,0.333,
1998-07,0.337,
1998-08,0.338,
1998-09,0.329,
1998-10,0.312,
1998-11,0.321,
1998-12,0.314,
1999-01,0.316,
1999-02,0.310,
1999-03,0.308,
1999-04,0.318,
1999-05,0.310,
1999-06,0.322,
1999-07,0.356,
1999-08,0.332,
1999-09,0.353,
1999-10,0.338,
1999-11,0.341,
1999-12,0.345,
2000-01,0.342,
2000-02,0.339,
2000-03,0.358,
2000-04,0.351,
2000-05,0.364,
2000-06,0.363,
2000-07,0.380,
2000-08,0.395,
2000-09,0.370,
2000-10,0.382,
2000-11,0.368,
2000-12,0.355,
2001-01,0.401,
2001-02,0.393,
2001-03,0.421,
2001-04,0.394,
2001-05,0.438,
2001-06,0.445,
2001-07,0.406,
2001-08,0.390,
2001-09,0.439,
2001-10,0.436,
2001-11,0.429,
2001-12,0.328,
2002-01,0.326,
2002-02,0.323,
2002-03,0.285,
2002-04,0.334,
2002-05,0.357,
2002-06,0.371,
2002-07,0.393,
2002-08,0.371,
2002-09,0.303,
2002-10,0.380,
2002-11,0.392,
2002-12,0.387,
2003-01,0.340,
2003-02,0.379,
2003-03,0.340,
2003-04,0.368,
2003-05,0.351,
2003-06,0.332,
2003-07,0.310,
2003-08,0.325,
2003-09,0.325,
2003-10,0.323,
2003-11,0.353,
2003-12,0.368,
2004-01,0.314,
2004-02,0.309,
2004-03,0.330,
2004-04,0.301,
2004-05,0.345,
2004-06,0.322,
2004-07,0.313,
2004-08,0.301,
2004-09,0.319,
2004-10,0.276,
2004-11,0.302,
2004-12,0.300,
2005-01,0.295,
2005-02,0.339,
2005-03,0.337,
2005-04,0.364,
2005-05,0.389,
2005-06,0.392,
2005-07,0.377,
2005-08,0.349,
2005-09,0.430,
2005-10,0.409,
2005-11,0.407,
2005-12,0.444,
2006-01,0.422,
2006-02,0.333,
2006-03,0.360,
2006-04,0.382,
2006-05,0.419,
2006-06,0.414,
2006-07,0.407,
2006-08,0.357,
2006-09,0.348,
2006-10,0.349,
2006-11,0.372,
2006-12,0.338,
2007-01,0.345,
2007-02,0.321,
2007-03,0.322,
2007-04,0.393,
2007-05,0.349,
2007-06,0.375,
2007-07,0.396,
2007-08,0.375,
2007-09,0.387,
2007-10,0.378,
2007-11,0.377,
2007-12,0.443,
2008-01,0.458,
2008-02,0.591,
2008-03,0.642,
2008-04,0.689,
2008-05,0.690,
2008-06,0.806,
2008-07,0.742,
2008-08,0.770,
2008-09,0.765,
2008-10,0.807,
2008-11,0.871,
2008-12,0.861,
2009-01,0.923,
2009-02,0.882,
2009-03,0.828,
2009-04,0.846,
2009-05,0.851,
2009-06,0.924,
2009-07,0.903,
2009-08,1.040,
2009-09,0.921,
2009-10,0.911,
2009-11,0.921,
2009-12,0.958,
2010-01,0.996,
2010-02,0.986,
2010-03,1.025,
2010-04,0.962,
2010-05,0.998,
2010-06,0.935,
2010-07,0.941,
2010-08,1.003,
2010-09,1.015,
2010-10,1.005,
2010-11,1.024,
2010-12,0.940,
2011-01,0.921,
2011-02,0.947,
2011-03,0.939,
2011-04,0.923,
2011-05,0.920,
2011-06,0.911,
2011-07,0.911,
2011-08,0.904,
2011-09,0.908,
2011-10,0.926,
2011-11,0.927,
2011-12,1.078,
2012-01,0.930,
2012-02,1.018,
2012-03,1.009,
2012-04,1.088,
2012-05,0.996,
2012-06,0.960,
2012-07,0.963,
2012-08,0.980,
2012-09,0.947,
2012-10,0.974,
2012-11,0.991,
2012-12,0.992,
2013-01,1.006,
2013-02,0.970,
2013-03,1.033,
2013-04,0.950,
2013-05,0.934,
2013-06,0.910,
2013-07,0.885,
2013-08,0.894,
2013-09,0.921,
2013-10,0.935,
2013-11,0.884,
2013-12,0.909,
2014-01,0.923,
2014-02,0.996,
2014-03,0.976,
2014-04,0.981,
2014-05,0.969,
2014-06,0.920,
2014-07,0.922,
2014-08,0.907,
2014-09,0.959,
2014-10,0.871,
2014-11,0.829,
2014-12,0.845,
