"",BBK01.OEAC52N,BBK01.OEAC52N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:13,
2002-01,3.512,
2002-04,3.488,
2002-07,3.409,
2002-10,3.322,
2003-01,3.249,
2003-04,3.336,
2003-07,3.309,
2003-10,3.316,
2004-01,3.318,
2004-04,3.249,
2004-07,3.197,
2004-10,3.302,
2005-01,3.236,
2005-04,3.158,
2005-07,3.096,
2005-10,3.144,
2006-01,3.085,
2006-04,3.255,
2006-07,3.196,
2006-10,3.462,
2007-01,3.297,
2007-04,3.293,
2007-07,3.469,
2007-10,3.544,
2008-01,3.704,
2008-04,3.723,
2008-07,3.661,
2008-10,3.711,
2009-01,3.476,
2009-04,3.661,
2009-07,3.723,
2009-10,3.723,
2010-01,4.009,
2010-04,4.108,
2010-07,4.164,
2010-10,4.170,
2011-01,4.155,
2011-04,4.055,
2011-07,4.067,
2011-10,4.179,
2012-01,4.172,
2012-04,4.175,
2012-07,4.108,
2012-10,4.120,
2013-01,4.121,
2013-04,4.118,
2013-07,3.920,
2013-10,3.891,
2014-01,3.856,
2014-04,4.025,
2014-07,3.996,
