"",BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:25,
1991-01,1574.215,
1991-04,93.782,
1991-07,804.964,
1991-10,1383.194,
1992-01,113.736,
1992-04,-88.740,
1992-07,1605.620,
1992-10,2064.151,
1993-01,479.841,
1993-04,1632.590,
1993-07,2069.516,
1993-10,3039.123,
1994-01,-421.460,
1994-04,-998.906,
1994-07,-771.271,
1994-10,695.779,
1995-01,205.754,
1995-04,-1481.885,
1995-07,338.110,
1995-10,2951.448,
1996-01,-1925.409,
1996-04,98.527,
1996-07,1391.809,
1996-10,1318.362,
1997-01,-1853.073,
1997-04,-277.568,
1997-07,-1347.431,
1997-10,329.669,
1998-01,-215.087,
1998-04,2517.181,
1998-07,3652.124,
1998-10,-2031.605,
1999-01,-439.688,
1999-04,352.279,
1999-07,-1994.201,
1999-10,-2369.883,
2000-01,1534.558,
2000-04,-404.373,
2000-07,1170.020,
2000-10,1149.208,
2001-01,5382.920,
2001-04,2012.792,
2001-07,2011.982,
2001-10,2566.931,
2002-01,2209.139,
2002-04,7.990,
2002-07,2462.338,
2002-10,785.196,
2003-01,-1138.835,
2003-04,1506.102,
2003-07,1348.930,
2003-10,2278.403,
2004-01,2001.018,
2004-04,1424.402,
2004-07,-2267.262,
2004-10,999.051,
2005-01,10547.161,
2005-04,1364.577,
2005-07,6889.036,
2005-10,4939.396,
2006-01,3433.346,
2006-04,7254.327,
2006-07,3788.018,
2006-10,15977.179,
2007-01,1813.799,
2007-04,1515.270,
2007-07,7847.653,
2007-10,5704.829,
2008-01,12325.661,
2008-04,429.129,
2008-07,4720.970,
2008-10,8133.954,
2009-01,1012.294,
2009-04,2853.179,
2009-07,-631.064,
2009-10,-1414.317,
2010-01,-813.816,
2010-04,-1581.831,
2010-07,-1631.816,
2010-10,-625.087,
2011-01,-3484.918,
2011-04,-4505.892,
2011-07,-606.014,
2011-10,1307.477,
2012-01,10124.116,
2012-04,9544.476,
2012-07,1472.890,
2012-10,8762.367,
2013-01,-2650.812,
2013-04,674.678,
2013-07,-1326.874,
2013-10,-7144.208,
2014-01,-5435.013,Provisional value
2014-04,-836.143,Provisional value
2014-07,-1399.399,Provisional value
2014-10,-1532.851,Provisional value
