"",BBK01.OEBB06I,BBK01.OEBB06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:50,
2002-01,11.545,
2002-04,9.920,
2002-07,9.834,
2002-10,9.615,
2003-01,8.783,
2003-04,8.961,
2003-07,8.564,
2003-10,7.188,
2004-01,7.621,
2004-04,6.845,
2004-07,6.864,
2004-10,6.243,
2005-01,6.254,
2005-04,6.105,
2005-07,6.214,
2005-10,5.843,
2006-01,5.798,
2006-04,5.652,
2006-07,3.961,
2006-10,4.200,
2007-01,3.881,
2007-04,3.950,
2007-07,3.703,
2007-10,3.940,
2008-01,3.688,
2008-04,4.108,
2008-07,4.569,
2008-10,4.501,
2009-01,4.293,
2009-04,4.308,
2009-07,4.383,
2009-10,4.223,
2010-01,4.244,
2010-04,4.551,
2010-07,4.415,
2010-10,4.250,
2011-01,4.105,
2011-04,3.876,
2011-07,3.795,
2011-10,3.831,
2012-01,3.893,
2012-04,3.867,
2012-07,3.964,
2012-10,3.887,
2013-01,4.463,
2013-04,4.689,
2013-07,4.638,
2013-10,4.816,
2014-01,4.574,
2014-04,4.745,
2014-07,4.495,
