"",BBK01.OEAC22R,BBK01.OEAC22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:04,
2002-01,0.048,
2002-04,0.045,
2002-07,0.047,
2002-10,0.039,
2003-01,0.033,
2003-04,0.050,
2003-07,0.034,
2003-10,0.033,
2004-01,0.034,
2004-04,0.035,
2004-07,0.045,
2004-10,0.035,
2005-01,0.040,
2005-04,0.048,
2005-07,0.050,
2005-10,0.041,
2006-01,0.032,
2006-04,0.031,
2006-07,0.026,
2006-10,0.022,
2007-01,0.023,
2007-04,0.026,
2007-07,0.024,
2007-10,0.022,
2008-01,0.026,
2008-04,0.025,
2008-07,0.022,
2008-10,0.026,
2009-01,0.032,
2009-04,0.033,
2009-07,0.029,
2009-10,0.028,
2010-01,0.029,
2010-04,0.028,
2010-07,0.040,
2010-10,0.022,
2011-01,0.030,
2011-04,0.024,
2011-07,0.019,
2011-10,0.021,
2012-01,0.025,
2012-04,0.031,
2012-07,0.027,
2012-10,0.034,
2013-01,0.033,
2013-04,0.036,
2013-07,0.031,
2013-10,0.030,
2014-01,0.032,
2014-04,0.029,
2014-07,0.023,
